scenario,period,storage,inflow,demand,losses,shortage,capacity,storage_margin
baseline,0,80.0,8.0,6.0,1.2,0.0,100.0,0.8
baseline,1,80.8,8.0,6.06,1.212,0.0,100.0,0.808
baseline,2,81.528,8.0,6.1206,1.22292,0.0,100.0,0.81528
baseline,3,82.18448,8.0,6.181806,1.2327672,0.0,100.0,0.8218448
baseline,4,82.7699068,8.0,6.24362406,1.2415486,0.0,100.0,0.82769907
baseline,5,83.28473414,8.0,6.3060603,1.24927101,0.0,100.0,0.83284734
baseline,6,83.72940283,8.0,6.3691209,1.25594104,0.0,100.0,0.83729403
baseline,7,84.10434088,8.0,6.43281211,1.26156511,0.0,100.0,0.84104341
baseline,8,84.40996365,8.0,6.49714023,1.26614945,0.0,100.0,0.84409964
baseline,9,84.64667396,8.0,6.56211164,1.26970011,0.0,100.0,0.84646674
baseline,10,84.81486222,8.0,6.62773275,1.27222293,0.0,100.0,0.84814862
baseline,11,84.91490653,8.0,6.69401008,1.2737236,0.0,100.0,0.84914907
baseline,12,84.94717286,8.0,6.76095018,1.27420759,0.0,100.0,0.84947173
baseline,13,84.91201508,8.0,6.82855968,1.27368023,0.0,100.0,0.84912015
baseline,14,84.80977517,8.0,6.89684528,1.27214663,0.0,100.0,0.84809775
baseline,15,84.64078327,8.0,6.96581373,1.26961175,0.0,100.0,0.84640783
baseline,16,84.40535778,8.0,7.03547187,1.26608037,0.0,100.0,0.84405358
baseline,17,84.10380555,8.0,7.10582659,1.26155708,0.0,100.0,0.84103806
baseline,18,83.73642188,8.0,7.17688485,1.25604633,0.0,100.0,0.83736422
baseline,19,83.30349069,8.0,7.2486537,1.24955236,0.0,100.0,0.83303491
baseline,20,82.80528463,8.0,7.32114024,1.24207927,0.0,100.0,0.82805285
baseline,21,82.24206512,8.0,7.39435164,1.23363098,0.0,100.0,0.82242065
baseline,22,81.6140825,8.0,7.46829516,1.22421124,0.0,100.0,0.81614083
baseline,23,80.92157611,8.0,7.54297811,1.21382364,0.0,100.0,0.80921576
baseline,24,80.16477436,8.0,7.61840789,1.20247162,0.0,100.0,0.80164774
baseline,25,79.34389485,8.0,7.69459197,1.19015842,0.0,100.0,0.79343895
baseline,26,78.45914446,8.0,7.77153789,1.17688717,0.0,100.0,0.78459144
baseline,27,77.5107194,8.0,7.84925327,1.16266079,0.0,100.0,0.77510719
baseline,28,76.49880534,8.0,7.9277458,1.14748208,0.0,100.0,0.76498805
baseline,29,75.42357746,8.0,8.00702326,1.13135366,0.0,100.0,0.75423577
baseline,30,74.28520054,8.0,8.08709349,1.11427801,0.0,100.0,0.74285201
baseline,31,73.08382904,8.0,8.16796443,1.09625744,0.0,100.0,0.73083829
baseline,32,71.81960717,8.0,8.24964407,1.07729411,0.0,100.0,0.71819607
baseline,33,70.492669,8.0,8.33214051,1.05739003,0.0,100.0,0.70492669
baseline,34,69.10313845,8.0,8.41546192,1.03654708,0.0,100.0,0.69103138
baseline,35,67.65112946,8.0,8.49961654,1.01476694,0.0,100.0,0.67651129
baseline,36,66.13674598,8.0,8.5846127,0.99205119,0.0,100.0,0.66136746
baseline,37,64.56008209,8.0,8.67045883,0.96840123,0.0,100.0,0.64560082
baseline,38,62.92122203,8.0,8.75716342,0.94381833,0.0,100.0,0.62921222
baseline,39,61.22024028,8.0,8.84473505,0.9183036,0.0,100.0,0.6122024
baseline,40,59.45720162,8.0,8.9331824,0.89185802,0.0,100.0,0.59457202
baseline,41,57.6321612,8.0,9.02251423,0.86448242,0.0,100.0,0.57632161
baseline,42,55.74516455,8.0,9.11273937,0.83617747,0.0,100.0,0.55745165
baseline,43,53.79624772,8.0,9.20386676,0.80694372,0.0,100.0,0.53796248
baseline,44,51.78543724,8.0,9.29590543,0.77678156,0.0,100.0,0.51785437
baseline,45,49.71275025,8.0,9.38886448,0.74569125,0.0,100.0,0.4971275
baseline,46,47.57819452,8.0,9.48275313,0.71367292,0.0,100.0,0.47578195
baseline,47,45.38176847,8.0,9.57758066,0.68072653,0.0,100.0,0.45381768
baseline,48,43.12346128,8.0,9.67335647,0.64685192,0.0,100.0,0.43123461
baseline,49,40.8032529,8.0,9.77009003,0.61204879,0.0,100.0,0.40803253
baseline,50,38.42111407,8.0,9.86779093,0.57631671,0.0,100.0,0.38421114
baseline,51,35.97700643,8.0,9.96646884,0.5396551,0.0,100.0,0.35977006
baseline,52,33.4708825,8.0,10.06613353,0.50206324,0.0,100.0,0.33470882
baseline,53,30.90268573,8.0,10.16679486,0.46354029,0.0,100.0,0.30902686
baseline,54,28.27235058,8.0,10.26846281,0.42408526,0.0,100.0,0.28272351
baseline,55,25.57980251,8.0,10.37114744,0.38369704,0.0,100.0,0.25579803
baseline,56,22.82495803,8.0,10.47485892,0.34237437,0.0,100.0,0.22824958
baseline,57,20.00772474,8.0,10.5796075,0.30011587,0.0,100.0,0.20007725
baseline,58,17.12800137,8.0,10.68540358,0.25692002,0.0,100.0,0.17128001
baseline,59,14.18567777,8.0,10.79225762,0.21278517,0.0,100.0,0.14185678
baseline,60,11.18063499,8.0,10.90018019,0.16770952,0.0,100.0,0.11180635
