period,storage,demand,losses,shortage
0,80.000000,6.000000,1.200000,0.000000
1,80.800000,6.060000,1.212000,0.000000
2,81.528000,6.120600,1.222920,0.000000
3,82.184480,6.181806,1.232767,0.000000
4,82.769907,6.243624,1.241549,0.000000
5,83.284734,6.306060,1.249271,0.000000
6,83.729403,6.369121,1.255941,0.000000
7,84.104341,6.432812,1.261565,0.000000
8,84.409964,6.497140,1.266149,0.000000
9,84.646674,6.562112,1.269700,0.000000
10,84.814862,6.627733,1.272223,0.000000
11,84.914907,6.694010,1.273724,0.000000
12,84.947173,6.760950,1.274208,0.000000
13,84.912015,6.828560,1.273680,0.000000
14,84.809775,6.896845,1.272147,0.000000
15,84.640783,6.965814,1.269612,0.000000
16,84.405358,7.035472,1.266080,0.000000
17,84.103806,7.105827,1.261557,0.000000
18,83.736422,7.176885,1.256046,0.000000
19,83.303491,7.248654,1.249552,0.000000
20,82.805285,7.321140,1.242079,0.000000
21,82.242065,7.394352,1.233631,0.000000
22,81.614083,7.468295,1.224211,0.000000
23,80.921576,7.542978,1.213824,0.000000
24,80.164774,7.618408,1.202472,0.000000
25,79.343895,7.694592,1.190158,0.000000
26,78.459144,7.771538,1.176887,0.000000
27,77.510719,7.849253,1.162661,0.000000
28,76.498805,7.927746,1.147482,0.000000
29,75.423577,8.007023,1.131354,0.000000
30,74.285201,8.087093,1.114278,0.000000
31,73.083829,8.167964,1.096257,0.000000
32,71.819607,8.249644,1.077294,0.000000
33,70.492669,8.332141,1.057390,0.000000
34,69.103138,8.415462,1.036547,0.000000
35,67.651129,8.499617,1.014767,0.000000
36,66.136746,8.584613,0.992051,0.000000
37,64.560082,8.670459,0.968401,0.000000
38,62.921222,8.757163,0.943818,0.000000
39,61.220240,8.844735,0.918304,0.000000
40,59.457202,8.933182,0.891858,0.000000
41,57.632161,9.022514,0.864482,0.000000
42,55.745165,9.112739,0.836177,0.000000
43,53.796248,9.203867,0.806944,0.000000
44,51.785437,9.295905,0.776782,0.000000
45,49.712750,9.388864,0.745691,0.000000
46,47.578195,9.482753,0.713673,0.000000
47,45.381768,9.577581,0.680727,0.000000
48,43.123461,9.673356,0.646852,0.000000
49,40.803253,9.770090,0.612049,0.000000
50,38.421114,9.867791,0.576317,0.000000
51,35.977006,9.966469,0.539655,0.000000
52,33.470882,10.066134,0.502063,0.000000
53,30.902686,10.166795,0.463540,0.000000
54,28.272351,10.268463,0.424085,0.000000
55,25.579803,10.371147,0.383697,0.000000
56,22.824958,10.474859,0.342374,0.000000
57,20.007725,10.579608,0.300116,0.000000
58,17.128001,10.685404,0.256920,0.000000
59,14.185678,10.792258,0.212785,0.000000
60,11.180635,10.900180,0.167710,0.000000
