scenario,period,observed_storage,predicted_storage,residual,absolute_residual
baseline,0.0,80.0,80.0,0.0,0.0
baseline,5.0,86.2,83.28473414,2.91526586,2.91526586
baseline,10.0,90.8,84.81486222,5.98513778,5.98513778
baseline,15.0,92.0,84.64078327,7.35921673,7.35921673
baseline,20.0,91.4,82.80528463,8.59471537,8.59471537
baseline,25.0,89.1,79.34389485,9.75610515,9.75610515
baseline,30.0,85.2,74.28520054,10.91479946,10.91479946
baseline,35.0,80.0,67.65112946,12.34887054,12.34887054
baseline,40.0,73.5,59.45720162,14.04279838,14.04279838
baseline,45.0,65.2,49.71275025,15.48724975,15.48724975
baseline,50.0,55.8,38.42111407,17.37888593,17.37888593
baseline,55.0,45.0,25.57980251,19.42019749,19.42019749
baseline,60.0,34.2,11.18063499,23.01936501,23.01936501
