growth_rate,carrying_capacity,sse,rmse,mae,bias
0.08,85.0,8790.51654046,29.64880527,25.61200957,25.61200957
0.08,90.0,8278.34803096,28.7721185,24.83284156,24.83284156
0.08,95.0,7820.07919987,27.96440452,24.11728547,24.11728547
0.08,100.0,7408.05124406,27.21773548,23.45777042,23.45777042
0.08,105.0,7035.95267595,26.52537026,22.84789507,22.84789507
0.08,110.0,6698.5396483,25.88153714,22.28220743,22.28220743
0.08,115.0,6391.42271159,25.28126324,21.75603331,21.75603331
0.08,120.0,6110.9023238,24.72023933,21.26534103,21.26534103
0.08,125.0,5853.84062077,24.19471145,20.80663365,20.80663365
0.09,85.0,8251.81844156,28.72597856,24.85498718,24.85498718
0.09,90.0,7691.74939087,27.7340033,23.97481183,23.97481183
0.09,95.0,7191.56361451,26.81709085,23.16411543,23.16411543
0.09,100.0,6742.79824809,25.96689864,22.41486299,22.41486299
0.09,105.0,6338.46048813,25.17629935,21.72023175,21.72023175
0.09,110.0,5972.72681037,24.43916285,21.07438724,21.07438724
0.09,115.0,5640.71264205,23.75018451,20.47230794,20.47230794
0.09,120.0,5338.29399521,23.10474842,19.90964658,19.90964658
0.09,125.0,5061.96789674,22.49881752,19.38261934,19.38261934
0.1,85.0,7735.6176839,27.81297842,24.10562343,24.10562343
0.1,90.0,7131.90940288,26.70563499,23.12447325,23.12447325
0.1,95.0,6594.03522754,25.67885361,22.21818662,22.21818662
0.1,100.0,6112.74919254,24.72397458,21.37834814,21.37834814
0.1,105.0,5680.38943881,23.83356759,20.59778378,20.59778378
0.1,110.0,5290.55890451,23.00121498,19.8703353,19.8703353
0.1,115.0,4937.87982019,22.22134069,19.19068317,19.19068317
0.1,120.0,4617.80283927,21.48907359,18.55420599,18.55420599
0.1,125.0,4326.45711345,20.80013729,17.95686779,17.95686779
0.11,85.0,7242.03840691,26.91103567,23.36474451,23.36474451
0.11,90.0,6599.03554674,25.68858802,22.28289223,22.28289223
0.11,95.0,6027.82057739,24.55162027,21.28081127,21.28081127
0.11,100.0,5518.38505696,23.49124317,20.34978171,20.34978171
0.11,105.0,5062.40985358,22.49979967,19.48234289,19.48234289
0.11,110.0,4652.92980276,21.5706509,18.67206786,18.67206786
0.11,115.0,4284.074907,20.69800693,17.91338594,17.91338594
0.11,120.0,3950.86836117,19.87679139,17.2014415,17.2014415
0.11,125.0,3649.06728898,19.102532,16.53198047,16.53198047
0.12,85.0,6771.07832762,26.02129575,22.633123,22.633123
0.12,90.0,6093.16573515,24.68433863,21.45107297,21.45107297
0.12,95.0,5493.02941874,23.43721276,20.35323429,20.35323429
0.12,100.0,4959.91976616,22.27087732,19.33065066,19.33065066
0.12,105.0,4484.87266901,21.17751796,18.37563381,18.37563381
0.12,110.0,4060.36053721,20.15033632,17.48153911,17.48153911
0.12,115.0,3680.02202872,19.18338351,16.6425888,16.6425888
0.12,120.0,3338.45035649,18.27142675,15.85373109,15.85373109
0.12,125.0,3031.02577176,17.40984139,15.11052667,15.11052668
0.13,85.0,6322.616973,25.14481452,21.91147548,21.91147548
0.13,90.0,5614.17855061,23.69425785,20.62995343,20.62995343
0.13,95.0,4989.56632791,22.33733719,19.43662721,19.43662721
0.13,100.0,4437.31235559,21.06492904,18.32236474,18.32236474
0.13,105.0,3947.82122979,19.86912487,17.2793035,17.27930351
0.13,110.0,3513.0096869,18.74302453,16.30062797,16.30062797
0.13,115.0,3126.02664497,17.68057308,15.38039432,15.38039432
0.13,120.0,2781.03317985,16.67643001,14.51339051,14.51339051
0.13,125.0,2473.02783065,15.72586351,13.69502341,13.69502341
0.14,85.0,5896.42486009,24.28255518,21.20046077,21.20046077
0.14,90.0,5161.80501135,22.7196061,19.8204021,19.8204021
0.14,95.0,4517.14466775,21.25357539,18.53208313,18.53208313
0.14,100.0,3950.28252637,19.87531767,17.32624937,17.32624936
0.14,105.0,3451.00762438,18.57688786,16.19491169,16.19491169
0.14,110.0,3010.68958654,17.35133881,15.1311262,15.1311262
0.14,115.0,2621.99065203,16.19256203,14.12882079,14.12882079
0.14,120.0,2278.63868473,15.09516043,13.18265662,13.18265662
0.14,125.0,1975.24637522,14.05434586,12.28791639,12.28791639
0.15,85.0,5492.1733349,23.43538635,20.50067873,20.50067873
0.15,90.0,4735.64153167,21.7615292,19.02321561,19.02321561
0.15,95.0,4075.30245036,20.18737836,17.64061273,17.64061273
0.15,100.0,3498.32898161,18.70382042,16.34353958,16.34353958
0.15,105.0,2993.91290745,17.30292723,15.12392267,15.12392267
0.15,110.0,2552.88767274,15.97775852,13.97472791,13.97472791
0.15,115.0,2167.43397607,14.72220763,12.88978927,12.88978928
0.15,120.0,1830.84711427,13.53087992,11.86367204,11.86367204
0.15,125.0,1537.35114628,12.39899652,10.89156243,10.89156243
0.16,85.0,5109.44488399,22.60408123,19.81266966,19.81266966
0.16,90.0,4335.1637282,20.821056,18.23911713,18.23911713
0.16,95.0,3663.41961317,19.14006169,16.76314125,16.76314125
0.16,100.0,3080.74995032,17.55206526,15.37537537,15.37537537
0.16,105.0,2575.77044926,16.04920699,14.06769861,14.06769861
0.16,110.0,2138.79209243,14.62460971,12.8330206,12.8330206
0.16,115.0,1761.52172966,13.27223316,11.66511238,11.66511238
0.16,120.0,1436.82498747,11.98676348,10.55847154,10.55847154
0.16,125.0,1158.5364139,10.76353294,9.50821336,9.50821336
0.17,85.0,4747.74366334,21.78931771,19.13691428,19.13691428
0.17,90.0,3959.74072323,19.89909727,17.4687556,17.4687556
0.17,95.0,3280.73624369,18.11280278,15.90050649,15.90050649
0.17,100.0,2696.66528497,16.42152638,14.42279815,14.42279815
0.17,105.0,2195.59168605,14.8175291,13.0274942,13.0274942
0.17,110.0,1767.32070903,13.29406149,11.70747781,11.70747781
0.17,115.0,1403.09593632,11.84523506,10.45648468,10.45648468
0.17,120.0,1095.3588726,10.46593939,9.26897011,9.26897011
0.17,125.0,837.55604384,9.1518088,8.14000181,8.14000181
0.18,85.0,4406.50606297,20.99167945,18.47383415,18.47383415
0.18,90.0,3608.64964101,18.99644609,16.71270555,16.71270555
0.18,95.0,2926.37129283,17.10663992,15.05345782,15.05345782
0.18,100.0,2345.03951684,15.31352186,13.48674842,13.48674842
0.18,105.0,1852.19347434,13.60953149,12.00445276,12.00445276
0.18,110.0,1437.1525555,11.98812978,10.59945337,10.59945337
0.18,115.0,1090.71072382,10.4437097,9.26547489,9.26547489
0.18,120.0,804.89383539,8.97158757,7.99695302,7.99695302
0.18,125.0,572.76458515,7.5681212,6.78892895,6.78892895
0.19,85.0,4085.1111194,20.21165782,17.8237926,17.8237926
0.19,90.0,3281.09001279,18.11377932,15.97146776,15.97146776
0.19,95.0,2599.34136995,16.12247304,14.22265607,14.22265607
0.19,100.0,2024.70530927,14.229214,12.56806466,12.56806466
0.19,105.0,1544.22632533,12.42669033,10.99960371,10.99960371
0.19,110.0,1146.76082394,10.70869191,9.51017723,9.51017723
0.19,115.0,822.66990636,9.07011525,8.09351991,8.09351991
0.19,120.0,563.57530002,7.50716524,6.74406779,6.74406779
0.19,125.0,362.1629733,6.01799778,5.4568543,5.4568543
0.2,85.0,3782.89061431,19.44965453,17.18709603,17.18709603
0.2,90.0,2976.19783092,17.2516603,15.24547045,15.24547045
0.2,95.0,2298.57924128,15.16106606,13.40867423,13.40867423
0.2,100.0,1734.38678391,13.16961193,11.66748325,11.66748325
0.2,105.0,1270.20282722,11.27032753,10.01386142,10.01386142
0.2,110.0,894.44652553,9.45751831,8.44075293,8.44075293
0.2,115.0,597.06587676,7.7270038,6.94192057,6.94192057
0.2,120.0,369.29305117,6.07694867,5.51181806,5.51181806
0.2,125.0,203.44738862,4.51051426,4.14548763,4.14548763
0.21,85.0,3499.13874822,18.705985,16.5639957,16.5639957
0.21,90.0,2693.05904519,16.41054248,14.53507103,14.53507103
0.21,95.0,2022.95170484,14.22305067,12.61199906,12.61199906
0.21,100.0,1472.72225635,12.13557686,10.78563941,10.78563941
0.21,105.0,1028.52562708,10.14162525,9.04802528,9.04802528
0.21,110.0,678.37199354,8.2363341,7.39215646,7.39215646
0.21,115.0,411.81880472,6.417311,5.81183913,5.81183913
0.21,120.0,219.72616682,4.68749578,4.30155958,4.30155958
0.21,125.0,94.0598434,3.06691773,2.85638311,2.85638311
0.22,85.0,3233.12125174,17.98088221,15.95468965,15.95468965
0.22,90.0,2430.72231442,15.59077392,13.84055837,13.84055837
0.22,95.0,1771.27657069,13.30893148,11.83303317,11.83303317
0.22,100.0,1238.28598955,11.12782993,9.92306913,9.92306913
0.22,105.0,817.5144311,9.04165046,8.10278093,8.10278093
0.22,110.0,496.59353175,7.04693928,6.36523665,6.36523665
0.22,115.0,264.71522785,5.14504838,4.70429852,4.70429852
0.22,120.0,112.38774852,3.3524282,3.11449787,3.11449787
0.22,125.0,31.23914225,1.76745982,1.59093539,1.59093539
0.23,85.0,2984.08387251,17.27450107,15.35932511,15.35932511
0.23,90.0,2188.21089135,14.79260251,13.1621555,13.1621555
0.23,95.0,1542.33853961,12.41909232,11.07209801,11.07209801
0.23,100.0,1029.60863621,10.14696327,9.08021179,9.08021179
0.23,105.0,635.4315657,7.97139615,7.17870261,7.17870261
0.23,110.0,347.09257401,5.89145631,5.36071681,5.36071681
0.23,115.0,153.445226,3.91720852,3.62018297,3.62018297
0.23,120.0,44.66844288,2.11349102,1.95168786,1.95168785
0.23,125.0,12.07098387,1.09868029,0.96279228,0.35037782
0.24,85.0,2751.2601768,16.58692309,14.77800095,14.77800095
0.24,90.0,1964.53352421,14.01618181,12.50002262,12.50002262
0.24,95.0,1334.90379493,11.55380368,10.32943707,10.32943707
0.24,100.0,845.19613139,9.19345491,8.25741367,8.25741368
0.24,105.0,480.50573675,6.93185211,6.27625636,6.27625636
0.24,110.0,227.80486313,4.77289077,4.37919751,4.37919751
0.24,115.0,75.637519,2.75022761,2.5602402,2.5602402
0.24,120.0,13.8778911,1.17804461,1.0196335,0.81403504
0.24,125.0,33.53612587,1.83128714,1.31909725,-0.86421745
0.25,85.0,2533.87861985,15.91816139,14.21077043,14.21077043
0.25,90.0,1758.69431934,13.26157728,11.85426047,11.85426047
0.25,95.0,1147.7332208,10.71323117,9.60521977,9.60521977
0.25,100.0,683.54684305,8.26768918,7.45493195,7.45493195
0.25,105.0,350.95371658,5.92413468,5.39580411,5.39580411
0.25,110.0,136.64725457,3.69658294,3.42116044,3.42116044
0.25,115.0,28.89194301,1.69976301,1.5250848,1.5250848
0.25,120.0,17.28339582,1.3146633,1.0137731,-0.29770173
0.25,125.0,92.55570206,3.04229686,2.18707362,-2.05193762
0.26,85.0,2331.16887397,15.26816582,13.65764401,13.65764401
0.26,90.0,1569.70152263,12.52877298,11.22491387,11.22491386
0.26,95.0,979.59416493,9.89744495,8.89954557,8.89954557
0.26,100.0,543.16687718,7.3699856,6.67293923,6.67293923
0.26,105.0,244.99977321,4.94974518,4.53760843,4.53760843
0.26,110.0,71.54186895,2.67473118,2.48697319,2.48697319
0.26,115.0,10.80891507,1.03965932,0.90680325,0.51520278
0.26,120.0,52.14526383,2.28353375,1.60157516,-1.38290619
0.26,125.0,186.03297837,4.31315405,3.27042585,-3.21202585
