period,storage_m3,inflow_volume_m3,demand_volume_m3,loss_volume_m3,raw_next_storage_m3,next_storage_m3,storage_fraction,shortage_m3
0,80.000000,8.000000,6.000000,1.200000,80.800000,80.800000,0.808000,0.000000
1,80.800000,8.000000,6.000000,1.212000,81.588000,81.588000,0.815880,0.000000
2,81.588000,8.000000,6.000000,1.223820,82.364180,82.364180,0.823642,0.000000
3,82.364180,8.000000,6.000000,1.235463,83.128717,83.128717,0.831287,0.000000
4,83.128717,8.000000,6.000000,1.246931,83.881787,83.881787,0.838818,0.000000
5,83.881787,8.000000,6.000000,1.258227,84.623560,84.623560,0.846236,0.000000
6,84.623560,8.000000,6.000000,1.269353,85.354206,85.354206,0.853542,0.000000
7,85.354206,8.000000,6.000000,1.280313,86.073893,86.073893,0.860739,0.000000
8,86.073893,8.000000,6.000000,1.291108,86.782785,86.782785,0.867828,0.000000
9,86.782785,8.000000,6.000000,1.301742,87.481043,87.481043,0.874810,0.000000
10,87.481043,8.000000,6.000000,1.312216,88.168827,88.168827,0.881688,0.000000
11,88.168827,8.000000,6.000000,1.322532,88.846295,88.846295,0.888463,0.000000
12,88.846295,8.000000,6.000000,1.332694,89.513601,89.513601,0.895136,0.000000
13,89.513601,8.000000,6.000000,1.342704,90.170897,90.170897,0.901709,0.000000
14,90.170897,8.000000,6.000000,1.352563,90.818333,90.818333,0.908183,0.000000
15,90.818333,8.000000,6.000000,1.362275,91.456058,91.456058,0.914561,0.000000
16,91.456058,8.000000,6.000000,1.371841,92.084217,92.084217,0.920842,0.000000
17,92.084217,8.000000,6.000000,1.381263,92.702954,92.702954,0.927030,0.000000
18,92.702954,8.000000,6.000000,1.390544,93.312410,93.312410,0.933124,0.000000
19,93.312410,8.000000,6.000000,1.399686,93.912724,93.912724,0.939127,0.000000
20,93.912724,8.000000,6.000000,1.408691,94.504033,94.504033,0.945040,0.000000
21,94.504033,8.000000,6.000000,1.417560,95.086472,95.086472,0.950865,0.000000
22,95.086472,8.000000,6.000000,1.426297,95.660175,95.660175,0.956602,0.000000
23,95.660175,8.000000,6.000000,1.434903,96.225273,96.225273,0.962253,0.000000
24,96.225273,8.000000,6.000000,1.443379,96.781893,96.781893,0.967819,0.000000
25,96.781893,8.000000,6.000000,1.451728,97.330165,97.330165,0.973302,0.000000
26,97.330165,8.000000,6.000000,1.459952,97.870213,97.870213,0.978702,0.000000
27,97.870213,8.000000,6.000000,1.468053,98.402159,98.402159,0.984022,0.000000
28,98.402159,8.000000,6.000000,1.476032,98.926127,98.926127,0.989261,0.000000
29,98.926127,8.000000,6.000000,1.483892,99.442235,99.442235,0.994422,0.000000
30,99.442235,8.000000,6.000000,1.491634,99.950602,99.950602,0.999506,0.000000
31,99.950602,8.000000,6.000000,1.499259,100.451343,100.000000,1.000000,0.000000
32,100.000000,8.000000,6.000000,1.500000,100.500000,100.000000,1.000000,0.000000
33,100.000000,8.000000,6.000000,1.500000,100.500000,100.000000,1.000000,0.000000
34,100.000000,8.000000,6.000000,1.500000,100.500000,100.000000,1.000000,0.000000
35,100.000000,8.000000,6.000000,1.500000,100.500000,100.000000,1.000000,0.000000
36,100.000000,8.000000,6.000000,1.500000,100.500000,100.000000,1.000000,0.000000
37,100.000000,8.000000,6.000000,1.500000,100.500000,100.000000,1.000000,0.000000
38,100.000000,8.000000,6.000000,1.500000,100.500000,100.000000,1.000000,0.000000
39,100.000000,8.000000,6.000000,1.500000,100.500000,100.000000,1.000000,0.000000
40,100.000000,8.000000,6.000000,1.500000,100.500000,100.000000,1.000000,0.000000
41,100.000000,8.000000,6.000000,1.500000,100.500000,100.000000,1.000000,0.000000
42,100.000000,8.000000,6.000000,1.500000,100.500000,100.000000,1.000000,0.000000
43,100.000000,8.000000,6.000000,1.500000,100.500000,100.000000,1.000000,0.000000
44,100.000000,8.000000,6.000000,1.500000,100.500000,100.000000,1.000000,0.000000
45,100.000000,8.000000,6.000000,1.500000,100.500000,100.000000,1.000000,0.000000
46,100.000000,8.000000,6.000000,1.500000,100.500000,100.000000,1.000000,0.000000
47,100.000000,8.000000,6.000000,1.500000,100.500000,100.000000,1.000000,0.000000
48,100.000000,8.000000,6.000000,1.500000,100.500000,100.000000,1.000000,0.000000
49,100.000000,8.000000,6.000000,1.500000,100.500000,100.000000,1.000000,0.000000
50,100.000000,8.000000,6.000000,1.500000,100.500000,100.000000,1.000000,0.000000
51,100.000000,8.000000,6.000000,1.500000,100.500000,100.000000,1.000000,0.000000
52,100.000000,8.000000,6.000000,1.500000,100.500000,100.000000,1.000000,0.000000
53,100.000000,8.000000,6.000000,1.500000,100.500000,100.000000,1.000000,0.000000
54,100.000000,8.000000,6.000000,1.500000,100.500000,100.000000,1.000000,0.000000
55,100.000000,8.000000,6.000000,1.500000,100.500000,100.000000,1.000000,0.000000
56,100.000000,8.000000,6.000000,1.500000,100.500000,100.000000,1.000000,0.000000
57,100.000000,8.000000,6.000000,1.500000,100.500000,100.000000,1.000000,0.000000
58,100.000000,8.000000,6.000000,1.500000,100.500000,100.000000,1.000000,0.000000
59,100.000000,8.000000,6.000000,1.500000,100.500000,100.000000,1.000000,0.000000
60,100.000000,8.000000,6.000000,1.500000,100.500000,100.000000,1.000000,0.000000
