scenario,total_cost,total_benefit,budget,equity_floor,budget_ok,bounds_ok,equity_ok,feasible,allocation_housing,allocation_health,allocation_transport,allocation_resilience
baseline,0.0,0.0,75.0,1,True,True,False,False,0,0,0,0
baseline,6.0,10.0,75.0,1,True,True,False,False,0,0,0,1
baseline,12.0,20.0,75.0,1,True,True,False,False,0,0,0,2
baseline,18.0,30.0,75.0,1,True,True,False,False,0,0,0,3
baseline,24.0,40.0,75.0,1,True,True,False,False,0,0,0,4
baseline,30.0,50.0,75.0,1,True,True,False,False,0,0,0,5
baseline,36.0,60.0,75.0,1,True,True,False,False,0,0,0,6
baseline,42.0,70.0,75.0,1,True,True,False,False,0,0,0,7
baseline,48.0,80.0,75.0,1,True,True,False,False,0,0,0,8
baseline,5.0,8.0,75.0,1,True,True,False,False,0,0,1,0
baseline,11.0,18.0,75.0,1,True,True,False,False,0,0,1,1
baseline,17.0,28.0,75.0,1,True,True,False,False,0,0,1,2
baseline,23.0,38.0,75.0,1,True,True,False,False,0,0,1,3
baseline,29.0,48.0,75.0,1,True,True,False,False,0,0,1,4
baseline,35.0,58.0,75.0,1,True,True,False,False,0,0,1,5
baseline,41.0,68.0,75.0,1,True,True,False,False,0,0,1,6
baseline,47.0,78.0,75.0,1,True,True,False,False,0,0,1,7
baseline,53.0,88.0,75.0,1,True,True,False,False,0,0,1,8
baseline,10.0,16.0,75.0,1,True,True,False,False,0,0,2,0
baseline,16.0,26.0,75.0,1,True,True,False,False,0,0,2,1
baseline,22.0,36.0,75.0,1,True,True,False,False,0,0,2,2
baseline,28.0,46.0,75.0,1,True,True,False,False,0,0,2,3
baseline,34.0,56.0,75.0,1,True,True,False,False,0,0,2,4
baseline,40.0,66.0,75.0,1,True,True,False,False,0,0,2,5
baseline,46.0,76.0,75.0,1,True,True,False,False,0,0,2,6
baseline,52.0,86.0,75.0,1,True,True,False,False,0,0,2,7
baseline,58.0,96.0,75.0,1,True,True,False,False,0,0,2,8
baseline,15.0,24.0,75.0,1,True,True,False,False,0,0,3,0
baseline,21.0,34.0,75.0,1,True,True,False,False,0,0,3,1
baseline,27.0,44.0,75.0,1,True,True,False,False,0,0,3,2
baseline,33.0,54.0,75.0,1,True,True,False,False,0,0,3,3
baseline,39.0,64.0,75.0,1,True,True,False,False,0,0,3,4
baseline,45.0,74.0,75.0,1,True,True,False,False,0,0,3,5
baseline,51.0,84.0,75.0,1,True,True,False,False,0,0,3,6
baseline,57.0,94.0,75.0,1,True,True,False,False,0,0,3,7
baseline,63.0,104.0,75.0,1,True,True,False,False,0,0,3,8
baseline,20.0,32.0,75.0,1,True,True,False,False,0,0,4,0
baseline,26.0,42.0,75.0,1,True,True,False,False,0,0,4,1
baseline,32.0,52.0,75.0,1,True,True,False,False,0,0,4,2
baseline,38.0,62.0,75.0,1,True,True,False,False,0,0,4,3
baseline,44.0,72.0,75.0,1,True,True,False,False,0,0,4,4
baseline,50.0,82.0,75.0,1,True,True,False,False,0,0,4,5
baseline,56.0,92.0,75.0,1,True,True,False,False,0,0,4,6
baseline,62.0,102.0,75.0,1,True,True,False,False,0,0,4,7
baseline,68.0,112.0,75.0,1,True,True,False,False,0,0,4,8
baseline,25.0,40.0,75.0,1,True,True,False,False,0,0,5,0
baseline,31.0,50.0,75.0,1,True,True,False,False,0,0,5,1
baseline,37.0,60.0,75.0,1,True,True,False,False,0,0,5,2
baseline,43.0,70.0,75.0,1,True,True,False,False,0,0,5,3
baseline,49.0,80.0,75.0,1,True,True,False,False,0,0,5,4
baseline,55.0,90.0,75.0,1,True,True,False,False,0,0,5,5
baseline,61.0,100.0,75.0,1,True,True,False,False,0,0,5,6
