iteration,l1_residual
1,3.400000000000e-01
2,2.167500000000e-01
3,1.842375000000e-01
4,1.305015625000e-01
5,2.773158203125e-02
6,1.178592236328e-02
7,5.009017004395e-03
8,3.831898008362e-03
9,2.895211828540e-03
10,2.076409733281e-03
11,6.210003183795e-04
12,3.611607114786e-04
13,1.121681825073e-04
14,6.523465351083e-05
15,4.158709161312e-05
16,3.217667921609e-05
17,1.232684048841e-05
18,8.022076661618e-06
19,2.783169454040e-06
20,1.241989368878e-06
21,6.598068521824e-07
22,5.127641821978e-07
23,2.281400014181e-07
24,1.529162272640e-07
25,6.416934103526e-08
26,2.910171875703e-08
27,1.562692591994e-08
28,9.332644601567e-09
29,4.735569603120e-09
30,2.925117259522e-09
31,1.373653829573e-09
32,6.197449775591e-10
33,3.447877261475e-10
34,1.695351914410e-10
35,9.692399660644e-11
