function_name,x0,h,actual_change,linear_prediction,absolute_error,error_over_h
smooth_exp_response,5.0,1.0,0.601835094277503,0.5436563656918091,0.05817872858569395,0.05817872858569395
smooth_exp_response,5.0,0.5,0.2858841954873883,0.27182818284590454,0.014056012641483762,0.028112025282967523
smooth_exp_response,5.0,0.25,0.13936928960411876,0.13591409142295227,0.003455198181166491,0.013820792724665965
smooth_exp_response,5.0,0.125,0.06881363210680602,0.06795704571147614,0.0008565863953298863,0.006852691162639091
smooth_exp_response,5.0,0.0625,0.034191776253059025,0.03397852285573807,0.00021325339732095744,0.003412054357135319
smooth_exp_response,5.0,0.03125,0.01704246365004236,0.016989261427869034,5.320222217332707e-05,0.0017024711095464662
smooth_exp_response,5.0,-0.03125,-0.016936280420469796,-0.016989261427869034,5.298100739923803e-05,0.001695392236775617
smooth_exp_response,5.0,-0.0625,-0.03376703918697466,-0.03397852285573807,0.00021148366876341113,0.003383738700214578
smooth_exp_response,5.0,-0.125,-0.0671146174764381,-0.06795704571147614,0.0008424282350380369,0.006739425880304295
smooth_exp_response,5.0,-0.25,-0.1325721691431987,-0.13591409142295227,0.0033419222797535786,0.013367689119014314
smooth_exp_response,5.0,-0.5,-0.25867871730209524,-0.27182818284590454,0.013149465543809302,0.026298931087618604
smooth_exp_response,5.0,-1.0,-0.4927408999665772,-0.5436563656918091,0.05091546572523187,0.05091546572523187
kink_abs_response,0.0,1.0,1.0,0.0,1.0,1.0
kink_abs_response,0.0,0.5,0.5,0.0,0.5,1.0
kink_abs_response,0.0,0.25,0.25,0.0,0.25,1.0
kink_abs_response,0.0,0.125,0.125,0.0,0.125,1.0
kink_abs_response,0.0,0.0625,0.0625,0.0,0.0625,1.0
kink_abs_response,0.0,0.03125,0.03125,0.0,0.03125,1.0
kink_abs_response,0.0,-0.03125,0.03125,-0.0,0.03125,1.0
kink_abs_response,0.0,-0.0625,0.0625,-0.0,0.0625,1.0
kink_abs_response,0.0,-0.125,0.125,-0.0,0.125,1.0
kink_abs_response,0.0,-0.25,0.25,-0.0,0.25,1.0
kink_abs_response,0.0,-0.5,0.5,-0.0,0.5,1.0
kink_abs_response,0.0,-1.0,1.0,-0.0,1.0,1.0
