"function_name","x0","h","forward","backward","central","one_sided_gap","kink_flag"
"smooth_exp_response",5,1,0.601835094277503,0.492740899966577,0.54728799712204,0.109094194310926,FALSE
"smooth_exp_response",5,0.5,0.571768390974777,0.51735743460419,0.544562912789484,0.0544109563705861,FALSE
"smooth_exp_response",5,0.25,0.557477158416475,0.530288676572795,0.543882917494635,0.0271884818436803,FALSE
"smooth_exp_response",5,0.125,0.550509056854448,0.536916939811505,0.543712998332976,0.0135921170429434,FALSE
"smooth_exp_response",5,0.0625,0.547068420048944,0.540272626991595,0.543670523520269,0.0067957930573499,FALSE
"kink_abs_response",0,1,1,-1,0,2,TRUE
"kink_abs_response",0,0.5,1,-1,0,2,TRUE
"kink_abs_response",0,0.25,1,-1,0,2,TRUE
"kink_abs_response",0,0.125,1,-1,0,2,TRUE
"kink_abs_response",0,0.0625,1,-1,0,2,TRUE
