scenario,step,resource_stock,seed
baseline,0,70.0,20260612
baseline,1,67.78,20260612
baseline,2,65.71096888,20260612
baseline,3,63.7666667,20260612
baseline,4,61.9255287,20260612
baseline,5,60.16953588,20260612
baseline,6,58.48338085,20260612
baseline,7,56.8538389,20260612
baseline,8,55.26928371,20260612
baseline,9,53.71930607,20260612
baseline,10,52.19440625,20260612
baseline,11,50.68573849,20260612
baseline,12,49.18489206,20260612
baseline,13,47.68369614,20260612
baseline,14,46.17403867,20260612
baseline,15,44.6476903,20260612
baseline,16,43.09612531,20260612
baseline,17,41.51033104,20260612
baseline,18,39.88059697,20260612
baseline,19,38.1962728,20260612
baseline,20,36.44548245,20260612
baseline,21,30.9702293,20260612
baseline,22,25.72136846,20260612
baseline,23,23.16035495,20260612
baseline,24,20.36369516,20260612
baseline,25,17.28273615,20260612
baseline,26,13.85598131,20260612
baseline,27,10.00447915,20260612
baseline,28,5.62512412,20260612
baseline,29,0.58069082,20260612
baseline,30,0.0,20260612
baseline,31,0.0,20260612
baseline,32,0.0,20260612
baseline,33,0.0,20260612
baseline,34,0.0,20260612
baseline,35,0.0,20260612
baseline,36,0.0,20260612
baseline,37,0.0,20260612
baseline,38,0.0,20260612
baseline,39,0.0,20260612
baseline,40,0.0,20260612
baseline,41,0.0,20260612
baseline,42,0.0,20260612
baseline,43,0.0,20260612
baseline,44,0.0,20260612
baseline,45,0.0,20260612
baseline,46,0.0,20260612
baseline,47,0.0,20260612
baseline,48,0.0,20260612
baseline,49,0.0,20260612
baseline,50,0.0,20260612
stress,0,70.0,20260613
stress,1,64.15,20260613
stress,2,58.59966625,20260613
stress,3,53.23873486,20260613
stress,4,37.32525378,20260613
stress,5,31.83428,20260613
stress,6,26.08928992,20260613
stress,7,19.98170684,20260613
stress,8,13.38005995,20260613
stress,9,6.11852994,20260613
stress,10,0.0,20260613
stress,11,0.0,20260613
stress,12,0.0,20260613
stress,13,0.0,20260613
stress,14,0.0,20260613
stress,15,0.0,20260613
stress,16,0.0,20260613
stress,17,0.0,20260613
stress,18,0.0,20260613
stress,19,0.0,20260613
stress,20,0.0,20260613
stress,21,0.0,20260613
stress,22,0.0,20260613
stress,23,0.0,20260613
stress,24,0.0,20260613
stress,25,0.0,20260613
stress,26,0.0,20260613
stress,27,0.0,20260613
stress,28,0.0,20260613
stress,29,0.0,20260613
stress,30,0.0,20260613
stress,31,0.0,20260613
stress,32,0.0,20260613
stress,33,0.0,20260613
stress,34,0.0,20260613
stress,35,0.0,20260613
stress,36,0.0,20260613
stress,37,0.0,20260613
stress,38,0.0,20260613
stress,39,0.0,20260613
stress,40,0.0,20260613
stress,41,0.0,20260613
stress,42,0.0,20260613
stress,43,0.0,20260613
stress,44,0.0,20260613
stress,45,0.0,20260613
stress,46,0.0,20260613
stress,47,0.0,20260613
stress,48,0.0,20260613
stress,49,0.0,20260613
stress,50,0.0,20260613
recovery_policy,0,70.0,20260614
recovery_policy,1,68.78,20260614
recovery_policy,2,67.64516088,20260614
recovery_policy,3,66.58472782,20260614
recovery_policy,4,65.58963206,20260614
recovery_policy,5,64.65216613,20260614
recovery_policy,6,63.76573138,20260614
recovery_policy,7,62.92463973,20260614
recovery_policy,8,62.12395637,20260614
recovery_policy,9,61.3593738,20260614
recovery_policy,10,60.62711013,20260614
recovery_policy,11,59.92382628,20260614
recovery_policy,12,59.24655809,20260614
recovery_policy,13,58.59266018,20260614
recovery_policy,14,57.95975933,20260614
recovery_policy,15,57.34571535,20260614
recovery_policy,16,56.74858818,20260614
recovery_policy,17,56.16660999,20260614
recovery_policy,18,55.59816125,20260614
recovery_policy,19,55.04175031,20260614
recovery_policy,20,54.49599567,20260614
recovery_policy,21,53.95961051,20260614
recovery_policy,22,53.43138918,20260614
recovery_policy,23,52.9101952,20260614
recovery_policy,24,52.39495058,20260614
recovery_policy,25,51.88462616,20260614
recovery_policy,26,51.37823289,20260614
recovery_policy,27,50.87481374,20260614
recovery_policy,28,50.37343621,20260614
recovery_policy,29,49.87318519,20260614
recovery_policy,30,49.37315624,20260614
recovery_policy,31,48.87244896,20260614
recovery_policy,32,48.37016049,20260614
recovery_policy,33,47.86537901,20260614
recovery_policy,34,42.57063922,20260614
recovery_policy,35,41.9712875,20260614
recovery_policy,36,37.15813034,20260614
recovery_policy,37,36.36128583,20260614
recovery_policy,38,35.52645969,20260614
recovery_policy,39,34.64938963,20260614
recovery_policy,40,33.7252354,20260614
recovery_policy,41,32.74847306,20260614
recovery_policy,42,31.71276574,20260614
recovery_policy,43,30.61080445,20260614
recovery_policy,44,29.43411082,20260614
recovery_policy,45,28.17279039,20260614
recovery_policy,46,26.81522164,20260614
recovery_policy,47,25.34766054,20260614
recovery_policy,48,23.75373242,20260614
recovery_policy,49,22.01377261,20260614
recovery_policy,50,20.10396055,20260614
