method,x,h,estimate,exact,absolute_error,elasticity
forward_difference,5.0,1.0,0.601835094277503,0.5436563656918091,0.05817872858569395,1.1070137908008506
central_difference,5.0,1.0,0.5472879971220401,0.5436563656918091,0.0036316314302310415,1.0066800127054703
forward_difference,5.0,0.5,0.5717683909747766,0.5436563656918091,0.028112025282967523,1.0517091807564778
central_difference,5.0,0.5,0.5445629127894835,0.5436563656918091,0.0009065470976744594,1.0016675001984405
forward_difference,5.0,0.25,0.557477158416475,0.5436563656918091,0.013820792724665965,1.0254219275204823
central_difference,5.0,0.25,0.5438829174946349,0.5436563656918091,0.0002265518028258251,1.0004167187531
forward_difference,5.0,0.125,0.5505090568544482,0.5436563656918091,0.006852691162639091,1.0126048209771608
central_difference,5.0,0.125,0.5437129983329765,0.5436563656918091,5.663264116739786e-05,1.0001041699219237
forward_difference,5.0,0.0625,0.5470684200489444,0.5436563656918091,0.003412054357135319,1.0062761232507478
central_difference,5.0,0.0625,0.5436705235202695,0.5436563656918091,1.4157828460370503e-05,1.000026041870111
forward_difference,5.0,0.03125,0.5453588368013556,0.5436563656918091,0.0017024711095464662,1.0031315206019524
central_difference,5.0,0.03125,0.5436599051281945,0.5436563656918091,3.5394363854246436e-06,1.0000065104293978
