method,h_large,h_small,error_large,error_small,estimated_order
central_difference,1.0,0.5,0.0036316314302310415,0.0009065470976744594,2.0021639136291225
central_difference,0.5,0.25,0.0009065470976744594,0.0002265518028258251,2.000541002589766
central_difference,0.25,0.125,0.0002265518028258251,5.663264116739786e-05,2.0001352521523525
central_difference,0.125,0.0625,5.663264116739786e-05,1.4157828460370503e-05,2.0000338135202216
central_difference,0.0625,0.03125,1.4157828460370503e-05,3.5394363854246436e-06,2.0000084495095725
forward_difference,1.0,0.5,0.05817872858569395,0.028112025282967523,1.0493043747424962
forward_difference,0.5,0.25,0.028112025282967523,0.013820792724665965,1.0243470266401609
forward_difference,0.25,0.125,0.013820792724665965,0.006852691162639091,1.0120977931897326
forward_difference,0.125,0.0625,0.006852691162639091,0.003412054357135319,1.0060300387401844
forward_difference,0.0625,0.03125,0.003412054357135319,0.0017024711095464662,1.0030103139680118
