"scenario","time","prey","predator","prey_rate","predator_rate","alpha","beta","delta","gamma","method","warning"
"predator_prey_coupled_system",0,40,9,10,2.7,0.7,0.05,0.02,0.5,"explicit_euler","Predator-prey terms are illustrative and assume continuous well-mixed interaction."
"predator_prey_coupled_system",0.01,40.1,9.027,9.970865,2.726154,0.7,0.05,0.02,0.5,"explicit_euler","Predator-prey terms are illustrative and assume continuous well-mixed interaction."
"predator_prey_coupled_system",0.02,40.19970865,9.05426154,9.94086225755498,2.75244274897801,0.7,0.05,0.02,0.5,"explicit_euler","Predator-prey terms are illustrative and assume continuous well-mixed interaction."
"predator_prey_coupled_system",0.03,40.2991172725756,9.08178596748978,9.9099842033878,2.77886617122114,0.7,0.05,0.02,0.5,"explicit_euler","Predator-prey terms are illustrative and assume continuous well-mixed interaction."
"predator_prey_coupled_system",0.04,40.3982171146094,9.10957462920199,9.87822329561461,2.8054241592438,0.7,0.05,0.02,0.5,"explicit_euler","Predator-prey terms are illustrative and assume continuous well-mixed interaction."
"predator_prey_coupled_system",0.05,40.4969993475656,9.13762887079443,9.84557202235299,2.83211657297995,0.7,0.05,0.02,0.5,"explicit_euler","Predator-prey terms are illustrative and assume continuous well-mixed interaction."
"predator_prey_coupled_system",0.06,40.5954550677891,9.16595003652423,9.81202290438641,2.85894323896427,0.7,0.05,0.02,0.5,"explicit_euler","Predator-prey terms are illustrative and assume continuous well-mixed interaction."
"predator_prey_coupled_system",0.07,40.693575296833,9.19453946891387,9.77756849788561,2.88590394950205,0.7,0.05,0.02,0.5,"explicit_euler","Predator-prey terms are illustrative and assume continuous well-mixed interaction."
"predator_prey_coupled_system",0.08,40.7913509818118,9.22339850840889,9.74220139718694,2.91299846182809,0.7,0.05,0.02,0.5,"explicit_euler","Predator-prey terms are illustrative and assume continuous well-mixed interaction."
"predator_prey_coupled_system",0.09,40.8887729957837,9.25252849302717,9.70591423762815,2.94022649725459,0.7,0.05,0.02,0.5,"explicit_euler","Predator-prey terms are illustrative and assume continuous well-mixed interaction."
"predator_prey_coupled_system",0.1,40.98583213816,9.28193075799972,9.66869969844196,2.96758774030815,0.7,0.05,0.02,0.5,"explicit_euler","Predator-prey terms are illustrative and assume continuous well-mixed interaction."
"predator_prey_coupled_system",0.11,41.0825191351444,9.3116066354028,9.63055050570742,2.99508183785606,0.7,0.05,0.02,0.5,"explicit_euler","Predator-prey terms are illustrative and assume continuous well-mixed interaction."
"predator_prey_coupled_system",0.12,41.1788246402015,9.34155745378136,9.59145943535955,3.02270839822191,0.7,0.05,0.02,0.5,"explicit_euler","Predator-prey terms are illustrative and assume continuous well-mixed interaction."
"predator_prey_coupled_system",0.13,41.2747392345551,9.37178453776358,9.5514193162572,3.05046699029075,0.7,0.05,0.02,0.5,"explicit_euler","Predator-prey terms are illustrative and assume continuous well-mixed interaction."
"predator_prey_coupled_system",0.14,41.3702534277176,9.40228920766649,9.51042303330949,3.0783571426039,0.7,0.05,0.02,0.5,"explicit_euler","Predator-prey terms are illustrative and assume continuous well-mixed interaction."
"predator_prey_coupled_system",0.15,41.4653576580507,9.43307277909252,9.4684635306608,3.10637834244362,0.7,0.05,0.02,0.5,"explicit_euler","Predator-prey terms are illustrative and assume continuous well-mixed interaction."
"predator_prey_coupled_system",0.16,41.5600422933573,9.46413656251696,9.42553381493441,3.13453003490781,0.7,0.05,0.02,0.5,"explicit_euler","Predator-prey terms are illustrative and assume continuous well-mixed interaction."
"predator_prey_coupled_system",0.17,41.6542976315067,9.49548186286604,9.3816269585349,3.16281162197489,0.7,0.05,0.02,0.5,"explicit_euler","Predator-prey terms are illustrative and assume continuous well-mixed interaction."
"predator_prey_coupled_system",0.18,41.748113901092,9.52710997908579,9.33673610300922,3.19122246155919,0.7,0.05,0.02,0.5,"explicit_euler","Predator-prey terms are illustrative and assume continuous well-mixed interaction."
"predator_prey_coupled_system",0.19,41.8414812621221,9.55902220370138,9.29085446246645,3.21976186655692,0.7,0.05,0.02,0.5,"explicit_euler","Predator-prey terms are illustrative and assume continuous well-mixed interaction."
"predator_prey_coupled_system",0.2,41.9343898067468,9.59121982236695,9.24397532705613,3.24842910388317,0.7,0.05,0.02,0.5,"explicit_euler","Predator-prey terms are illustrative and assume continuous well-mixed interaction."
"predator_prey_coupled_system",0.21,42.0268295600173,9.62370411340578,9.19609206650501,3.27722339349996,0.7,0.05,0.02,0.5,"explicit_euler","Predator-prey terms are illustrative and assume continuous well-mixed interaction."
"predator_prey_coupled_system",0.22,42.1187904806824,9.65647634734078,9.1471981337121,3.30614390743584,0.7,0.05,0.02,0.5,"explicit_euler","Predator-prey terms are illustrative and assume continuous well-mixed interaction."
"predator_prey_coupled_system",0.23,42.2102624620195,9.68953778641514,9.09728706840173,3.3351897687972,0.7,0.05,0.02,0.5,"explicit_euler","Predator-prey terms are illustrative and assume continuous well-mixed interaction."
"predator_prey_coupled_system",0.24,42.3012353327035,9.72288968410311,9.04635250083441,3.36436005077167,0.7,0.05,0.02,0.5,"explicit_euler","Predator-prey terms are illustrative and assume continuous well-mixed interaction."
"predator_prey_coupled_system",0.25,42.3916988577119,9.75653328461083,8.99438815557508,3.39365377562388,0.7,0.05,0.02,0.5,"explicit_euler","Predator-prey terms are illustrative and assume continuous well-mixed interaction."
"predator_prey_coupled_system",0.26,42.4816427392676,9.79046982236706,8.9413878553184,3.42306991368404,0.7,0.05,0.02,0.5,"explicit_euler","Predator-prey terms are illustrative and assume continuous well-mixed interaction."
"predator_prey_coupled_system",0.27,42.5710566178208,9.8247005215039,8.88734552477074,3.45260738232957,0.7,0.05,0.02,0.5,"explicit_euler","Predator-prey terms are illustrative and assume continuous well-mixed interaction."
"predator_prey_coupled_system",0.28,42.6599300730685,9.8592265953272,8.83225519458817,3.48226504496032,0.7,0.05,0.02,0.5,"explicit_euler","Predator-prey terms are illustrative and assume continuous well-mixed interaction."
"predator_prey_coupled_system",0.29,42.7482526250144,9.8940492457768,8.77611100537008,3.5120417099676,0.7,0.05,0.02,0.5,"explicit_euler","Predator-prey terms are illustrative and assume continuous well-mixed interaction."
"predator_prey_coupled_system",0.3,42.8360137350681,9.92916966287648,8.71890721170774,3.54193612969773,0.7,0.05,0.02,0.5,"explicit_euler","Predator-prey terms are illustrative and assume continuous well-mixed interaction."
"predator_prey_coupled_system",0.31,42.9232028071852,9.96458902417346,8.66063818628718,3.57194699941025,0.7,0.05,0.02,0.5,"explicit_euler","Predator-prey terms are illustrative and assume continuous well-mixed interaction."
"predator_prey_coupled_system",0.32,43.009809189048,10.0003084941676,8.60129842404547,3.60207295623148,0.7,0.05,0.02,0.5,"explicit_euler","Predator-prey terms are illustrative and assume continuous well-mixed interaction."
"predator_prey_coupled_system",0.33,43.0958221732885,10.0363292237299,8.54088254637988,3.63231257810389,0.7,0.05,0.02,0.5,"explicit_euler","Predator-prey terms are illustrative and assume continuous well-mixed interaction."
"predator_prey_coupled_system",0.34,43.1812309987523,10.0726523495109,8.47938530540881,3.66266438273166,0.7,0.05,0.02,0.5,"explicit_euler","Predator-prey terms are illustrative and assume continuous well-mixed interaction."
"predator_prey_coupled_system",0.35,43.2660248518064,10.1092789933382,8.41680158828366,3.69312682652321,0.7,0.05,0.02,0.5,"explicit_euler","Predator-prey terms are illustrative and assume continuous well-mixed interaction."
"predator_prey_coupled_system",0.36,43.3501928676892,10.1462102616035,8.35312642155057,3.72369830353102,0.7,0.05,0.02,0.5,"explicit_euler","Predator-prey terms are illustrative and assume continuous well-mixed interaction."
"predator_prey_coupled_system",0.37,43.4337241319047,10.1834472446388,8.28835497556102,3.75437714438953,0.7,0.05,0.02,0.5,"explicit_euler","Predator-prey terms are illustrative and assume continuous well-mixed interaction."
"predator_prey_coupled_system",0.38,43.5166076816603,10.2209910160827,8.22248256893002,3.78516161525155,0.7,0.05,0.02,0.5,"explicit_euler","Predator-prey terms are illustrative and assume continuous well-mixed interaction."
"predator_prey_coupled_system",0.39,43.5988325073496,10.2588426322352,8.15550467304076,3.816049916724,0.7,0.05,0.02,0.5,"explicit_euler","Predator-prey terms are illustrative and assume continuous well-mixed interaction."
"predator_prey_coupled_system",0.4,43.68038755408,10.2970031314024,8.08741691659435,3.84704018280346,0.7,0.05,0.02,0.5,"explicit_euler","Predator-prey terms are illustrative and assume continuous well-mixed interaction."
"predator_prey_coupled_system",0.41,43.761261723246,10.3354735332305,8.01821509020319,3.87813047981237,0.7,0.05,0.02,0.5,"explicit_euler","Predator-prey terms are illustrative and assume continuous well-mixed interaction."
"predator_prey_coupled_system",0.42,43.841443874148,10.3742548380286,7.94789515102669,3.90931880533648,0.7,0.05,0.02,0.5,"explicit_euler","Predator-prey terms are illustrative and assume continuous well-mixed interaction."
"predator_prey_coupled_system",0.43,43.9209228256583,10.4133480260819,7.8764532274475,3.94060308716435,0.7,0.05,0.02,0.5,"explicit_euler","Predator-prey terms are illustrative and assume continuous well-mixed interaction."
"predator_prey_coupled_system",0.44,43.9996873579328,10.4527540569536,7.80388562378688,3.97198118222963,0.7,0.05,0.02,0.5,"explicit_euler","Predator-prey terms are illustrative and assume continuous well-mixed interaction."
"predator_prey_coupled_system",0.45,44.0777262141706,10.4924738687759,7.73018882505729,4.00345087555692,0.7,0.05,0.02,0.5,"explicit_euler","Predator-prey terms are illustrative and assume continuous well-mixed interaction."
"predator_prey_coupled_system",0.46,44.1550281024212,10.5325083775315,7.65535950175044,4.03500987921204,0.7,0.05,0.02,0.5,"explicit_euler","Predator-prey terms are illustrative and assume continuous well-mixed interaction."
"predator_prey_coupled_system",0.47,44.2315816974387,10.5728584763236,7.57939451465892,4.06665583125749,0.7,0.05,0.02,0.5,"explicit_euler","Predator-prey terms are illustrative and assume continuous well-mixed interaction."
"predator_prey_coupled_system",0.48,44.3073756425853,10.6135250346361,7.50229091972936,4.09838629471407,0.7,0.05,0.02,0.5,"explicit_euler","Predator-prey terms are illustrative and assume continuous well-mixed interaction."
"predator_prey_coupled_system",0.49,44.3823985517826,10.6545088975833,7.42404597294504,4.13019875652946,0.7,0.05,0.02,0.5,"explicit_euler","Predator-prey terms are illustrative and assume continuous well-mixed interaction."
"predator_prey_coupled_system",0.5,44.456639011512,10.6958108851486,7.34465713523585,4.16209062655474,0.7,0.05,0.02,0.5,"explicit_euler","Predator-prey terms are illustrative and assume continuous well-mixed interaction."
"predator_prey_coupled_system",0.51,44.5300855828644,10.7374317914141,7.26412207741307,4.19405923652974,0.7,0.05,0.02,0.5,"explicit_euler","Predator-prey terms are illustrative and assume continuous well-mixed interaction."
