"scenario","time","position","velocity","acceleration","damping_ratio","natural_frequency","forcing","method","warning"
"underdamped_unforced",0,1,0,-1,0.2,1,0,"explicit_euler_first_order_system","Explicit Euler is transparent but can distort oscillatory systems if the step size is too large."
"underdamped_unforced",0.02,0.9996,-0.02,-0.9916,0.2,1,0,"explicit_euler_first_order_system","Explicit Euler is transparent but can distort oscillatory systems if the step size is too large."
"underdamped_unforced",0.04,0.99880336,-0.039832,-0.98287056,0.2,1,0,"explicit_euler_first_order_system","Explicit Euler is transparent but can distort oscillatory systems if the step size is too large."
"underdamped_unforced",0.06,0.997613571776,-0.0594894112,-0.973817807296,0.2,1,0,"explicit_euler_first_order_system","Explicit Euler is transparent but can distort oscillatory systems if the step size is too large."
"underdamped_unforced",0.08,0.996034256429082,-0.07896576734592,-0.964447949490714,0.2,1,0,"explicit_euler_first_order_system","Explicit Euler is transparent but can distort oscillatory systems if the step size is too large."
"underdamped_unforced",0.1,0.994069161902367,-0.0982547263357343,-0.954767271368073,0.2,1,0,"explicit_euler_first_order_system","Explicit Euler is transparent but can distort oscillatory systems if the step size is too large."
"underdamped_unforced",0.12,0.991722160467105,-0.117350071763096,-0.944782131761867,0.2,1,0,"explicit_euler_first_order_system","Explicit Euler is transparent but can distort oscillatory systems if the step size is too large."
"underdamped_unforced",0.14,0.988997246179139,-0.136245714398333,-0.934498960419805,0.2,1,0,"explicit_euler_first_order_system","Explicit Euler is transparent but can distort oscillatory systems if the step size is too large."
"underdamped_unforced",0.16,0.985898532307004,-0.154935693606729,-0.923924254864312,0.2,1,0,"explicit_euler_first_order_system","Explicit Euler is transparent but can distort oscillatory systems if the step size is too large."
"underdamped_unforced",0.18,0.982430248732924,-0.173414178704015,-0.913064577251317,0.2,1,0,"explicit_euler_first_order_system","Explicit Euler is transparent but can distort oscillatory systems if the step size is too large."
"underdamped_unforced",0.2,0.978596739327943,-0.191675470249042,-0.901926551228326,0.2,1,0,"explicit_euler_first_order_system","Explicit Euler is transparent but can distort oscillatory systems if the step size is too large."
"underdamped_unforced",0.22,0.974402459302471,-0.209714001273608,-0.890516858793027,0.2,1,0,"explicit_euler_first_order_system","Explicit Euler is transparent but can distort oscillatory systems if the step size is too large."
