step,x_reference,x_perturbed,absolute_difference,log_difference,warning
0,0.200000000000,0.200000010000,9.999999994736e-09,-18.420680744479,Trajectory divergence depends on parameter value initial uncertainty numerical precision and iteration count.
1,0.624000000000,0.624000023400,2.339999949363e-08,-17.570529836222,Trajectory divergence depends on parameter value initial uncertainty numerical precision and iteration count.
2,0.915033600000,0.915033577368,2.263248155554e-08,-17.603879725534,Trajectory divergence depends on parameter value initial uncertainty numerical precision and iteration count.
3,0.303213732397,0.303213805664,7.326727224921e-08,-16.429151818221,Trajectory divergence depends on parameter value initial uncertainty numerical precision and iteration count.
4,0.823973143043,0.823973255504,1.124603248304e-07,-16.000665345679,Trajectory divergence depends on parameter value initial uncertainty numerical precision and iteration count.
5,0.565661470088,0.565661185902,2.841862235536e-07,-15.073636096935,Trajectory divergence depends on parameter value initial uncertainty numerical precision and iteration count.
6,0.958185428249,0.958185573797,1.455483498169e-07,-15.742757504387,Trajectory divergence depends on parameter value initial uncertainty numerical precision and iteration count.
7,0.156257842027,0.156257321860,5.201675199462e-07,-14.469114923509,Trajectory divergence depends on parameter value initial uncertainty numerical precision and iteration count.
8,0.514181182445,0.514179787777,1.394668400545e-06,-13.482853876650,Trajectory divergence depends on parameter value initial uncertainty numerical precision and iteration count.
9,0.974215686851,0.974215841113,1.542611810512e-07,-15.684618690232,Trajectory divergence depends on parameter value initial uncertainty numerical precision and iteration count.
10,0.097965981142,0.097965410548,5.705940538253e-07,-14.376587819137,Trajectory divergence depends on parameter value initial uncertainty numerical precision and iteration count.
11,0.344637725955,0.344635936648,1.789307390421e-06,-13.233681945715,Trajectory divergence depends on parameter value initial uncertainty numerical precision and iteration count.
12,0.880863998834,0.880861830493,2.168341234454e-06,-13.041548090806,Trajectory divergence depends on parameter value initial uncertainty numerical precision and iteration count.
13,0.409276196129,0.409282637687,6.441557947823e-06,-11.952740129742,Trajectory divergence depends on parameter value initial uncertainty numerical precision and iteration count.
14,0.942899846504,0.942904404683,4.558178765990e-06,-12.298587407640,Trajectory divergence depends on parameter value initial uncertainty numerical precision and iteration count.
15,0.209974931271,0.209959184420,1.574685110148e-05,-11.058870142746,Trajectory divergence depends on parameter value initial uncertainty numerical precision and iteration count.
16,0.646953292084,0.646917668660,3.562342332619e-05,-10.242507177865,Trajectory divergence depends on parameter value initial uncertainty numerical precision and iteration count.
17,0.890778446788,0.890819274678,4.082788958770e-05,-10.106145141755,Trajectory divergence depends on parameter value initial uncertainty numerical precision and iteration count.
18,0.379439601550,0.379315148707,1.244528433487e-04,-8.991583682094,Trajectory divergence depends on parameter value initial uncertainty numerical precision and iteration count.
19,0.918314242270,0.918197150006,1.170922633723e-04,-9.052548358097,Trajectory divergence depends on parameter value initial uncertainty numerical precision and iteration count.
20,0.292551459386,0.292933460534,3.820011478075e-04,-7.870086944631,Trajectory divergence depends on parameter value initial uncertainty numerical precision and iteration count.
21,0.807163901689,0.807781448110,6.175464218594e-04,-7.389756315188,Trajectory divergence depends on parameter value initial uncertainty numerical precision and iteration count.
22,0.607036316248,0.605555262776,1.481053471589e-03,-6.515001639291,Trajectory divergence depends on parameter value initial uncertainty numerical precision and iteration count.
