step,x_reference,x_perturbed,absolute_difference,log_difference,warning
0,0.2,0.20000001,9.999999994736442e-09,-18.420680744478723,"Trajectory divergence depends on parameter value, initial uncertainty, numerical precision, and iteration count."
1,0.6240000000000001,0.6240000233999996,2.3399999493634027e-08,-17.570529836222327,"Trajectory divergence depends on parameter value, initial uncertainty, numerical precision, and iteration count."
2,0.9150335999999998,0.9150335773675182,2.2632481555540096e-08,-17.603879725533883,"Trajectory divergence depends on parameter value, initial uncertainty, numerical precision, and iteration count."
3,0.30321373239705673,0.303213805664329,7.326727224921115e-08,-16.429151818221317,"Trajectory divergence depends on parameter value, initial uncertainty, numerical precision, and iteration count."
4,0.8239731430433209,0.8239732555036458,1.1246032483036572e-07,-16.00066534567851,"Trajectory divergence depends on parameter value, initial uncertainty, numerical precision, and iteration count."
5,0.5656614700878645,0.5656611859016409,2.8418622355363965e-07,-15.073636096935326,"Trajectory divergence depends on parameter value, initial uncertainty, numerical precision, and iteration count."
6,0.9581854282490118,0.9581855737973616,1.4554834981694853e-07,-15.74275750438725,"Trajectory divergence depends on parameter value, initial uncertainty, numerical precision, and iteration count."
7,0.1562578420270518,0.15625732185953187,5.20167519946213e-07,-14.469114923508595,"Trajectory divergence depends on parameter value, initial uncertainty, numerical precision, and iteration count."
8,0.5141811824451928,0.5141797877767923,1.3946684005450294e-06,-13.482853876649912,"Trajectory divergence depends on parameter value, initial uncertainty, numerical precision, and iteration count."
9,0.9742156868513789,0.97421584111256,1.5426118105121844e-07,-15.684618690232226,"Trajectory divergence depends on parameter value, initial uncertainty, numerical precision, and iteration count."
10,0.09796598114189214,0.09796541054783832,5.705940538253129e-07,-14.37658781913734,"Trajectory divergence depends on parameter value, initial uncertainty, numerical precision, and iteration count."
11,0.34463772595511444,0.344635936647724,1.7893073904207135e-06,-13.233681945715253,"Trajectory divergence depends on parameter value, initial uncertainty, numerical precision, and iteration count."
12,0.8808639988340473,0.8808618304928129,2.1683412344541964e-06,-13.041548090806362,"Trajectory divergence depends on parameter value, initial uncertainty, numerical precision, and iteration count."
