"step","x_reference","x_perturbed","absolute_difference","log_difference","warning"
0,0.2,0.20000001,9.99999999473644e-09,-18.4206807444787,"Trajectory divergence depends on parameter value, initial uncertainty, numerical precision, and iteration count."
1,0.624,0.6240000234,2.3399999493634e-08,-17.5705298362223,"Trajectory divergence depends on parameter value, initial uncertainty, numerical precision, and iteration count."
2,0.9150336,0.915033577367518,2.26324815555401e-08,-17.6038797255339,"Trajectory divergence depends on parameter value, initial uncertainty, numerical precision, and iteration count."
3,0.303213732397057,0.303213805664329,7.32672722492111e-08,-16.4291518182213,"Trajectory divergence depends on parameter value, initial uncertainty, numerical precision, and iteration count."
4,0.823973143043321,0.823973255503646,1.12460324830366e-07,-16.0006653456785,"Trajectory divergence depends on parameter value, initial uncertainty, numerical precision, and iteration count."
5,0.565661470087864,0.565661185901641,2.8418622355364e-07,-15.0736360969353,"Trajectory divergence depends on parameter value, initial uncertainty, numerical precision, and iteration count."
6,0.958185428249012,0.958185573797362,1.45548349816949e-07,-15.7427575043872,"Trajectory divergence depends on parameter value, initial uncertainty, numerical precision, and iteration count."
7,0.156257842027052,0.156257321859532,5.20167519946213e-07,-14.4691149235086,"Trajectory divergence depends on parameter value, initial uncertainty, numerical precision, and iteration count."
8,0.514181182445193,0.514179787776792,1.39466840054503e-06,-13.4828538766499,"Trajectory divergence depends on parameter value, initial uncertainty, numerical precision, and iteration count."
9,0.974215686851379,0.97421584111256,1.54261181051218e-07,-15.6846186902322,"Trajectory divergence depends on parameter value, initial uncertainty, numerical precision, and iteration count."
10,0.0979659811418921,0.0979654105478383,5.70594053825313e-07,-14.3765878191373,"Trajectory divergence depends on parameter value, initial uncertainty, numerical precision, and iteration count."
11,0.344637725955114,0.344635936647724,1.78930739042071e-06,-13.2336819457153,"Trajectory divergence depends on parameter value, initial uncertainty, numerical precision, and iteration count."
12,0.880863998834047,0.880861830492813,2.1683412344542e-06,-13.0415480908064,"Trajectory divergence depends on parameter value, initial uncertainty, numerical precision, and iteration count."
13,0.409276196129341,0.409282637687289,6.44155794782275e-06,-11.9527401297415,"Trajectory divergence depends on parameter value, initial uncertainty, numerical precision, and iteration count."
14,0.942899846503829,0.942904404682595,4.55817876598985e-06,-12.2985874076401,"Trajectory divergence depends on parameter value, initial uncertainty, numerical precision, and iteration count."
