"step","x_reference","x_perturbed","absolute_difference"
0,0.2,0.20000001,9.99999999473644e-09
1,0.624,0.6240000234,2.3399999493634e-08
2,0.9150336,0.915033577367518,2.26324815555401e-08
3,0.303213732397057,0.303213805664329,7.32672722492111e-08
4,0.823973143043321,0.823973255503646,1.12460324830366e-07
5,0.565661470087864,0.565661185901641,2.8418622355364e-07
6,0.958185428249012,0.958185573797362,1.45548349816949e-07
7,0.156257842027052,0.156257321859532,5.20167519946213e-07
8,0.514181182445193,0.514179787776792,1.39466840054503e-06
9,0.974215686851379,0.97421584111256,1.54261181051218e-07
10,0.0979659811418921,0.0979654105478383,5.70594053825313e-07
11,0.344637725955114,0.344635936647724,1.78930739042071e-06
12,0.880863998834047,0.880861830492813,2.1683412344542e-06
13,0.409276196129341,0.409282637687289,6.44155794782275e-06
14,0.942899846503829,0.942904404682595,4.55817876598985e-06
15,0.20997493127085,0.209959184419749,1.5746851101478e-05
16,0.646953292083742,0.646917668660416,3.56234233261921e-05
17,0.890778446788426,0.890819274678014,4.08278895877023e-05
18,0.379439601549938,0.37931514870659,0.000124452843348721
19,0.918314242269693,0.918197150006321,0.000117092263372309
20,0.292551459385896,0.292933460533704,0.000382001147807454
21,0.807163901688606,0.807781448110466,0.000617546421859405
22,0.607036316247786,0.605555262776197,0.00148105347158922
23,0.930318585316006,0.931546537350967,0.00122795203496195
24,0.252821069013363,0.248693585791521,0.00412748322184239
25,0.736720046697584,0.728695836092938,0.00802421060464609
26,0.756458116016825,0.771023036759633,0.0145649207428078
27,0.718494015443493,0.688531402827788,0.0299626126157047
28,0.788815424339977,0.836378049576367,0.0475626252363893
29,0.649684037586943,0.533714250276478,0.115969787310466
30,0.887619286677515,0.97056706238035,0.0829477757028356
