"scenario","model_type","time","state","rate","growth_rate","carrying_capacity","method","warning"
"exponential_growth","dx_dt_equals_r_x",0,10,3.5,0.35,NA,"explicit_euler","Exponential growth assumes no capacity constraint."
"exponential_growth","dx_dt_equals_r_x",0.1,10.35,3.6225,0.35,NA,"explicit_euler","Exponential growth assumes no capacity constraint."
"exponential_growth","dx_dt_equals_r_x",0.2,10.71225,3.7492875,0.35,NA,"explicit_euler","Exponential growth assumes no capacity constraint."
"exponential_growth","dx_dt_equals_r_x",0.3,11.08717875,3.8805125625,0.35,NA,"explicit_euler","Exponential growth assumes no capacity constraint."
"exponential_growth","dx_dt_equals_r_x",0.4,11.47523000625,4.0163305021875,0.35,NA,"explicit_euler","Exponential growth assumes no capacity constraint."
"exponential_growth","dx_dt_equals_r_x",0.5,11.8768630564687,4.15690206976406,0.35,NA,"explicit_euler","Exponential growth assumes no capacity constraint."
"exponential_growth","dx_dt_equals_r_x",0.6,12.2925532634452,4.3023936422058,0.35,NA,"explicit_euler","Exponential growth assumes no capacity constraint."
"exponential_growth","dx_dt_equals_r_x",0.7,12.7227926276657,4.45297741968301,0.35,NA,"explicit_euler","Exponential growth assumes no capacity constraint."
"exponential_growth","dx_dt_equals_r_x",0.8,13.168090369634,4.60883162937191,0.35,NA,"explicit_euler","Exponential growth assumes no capacity constraint."
"exponential_growth","dx_dt_equals_r_x",0.9,13.6289735325712,4.77014073639993,0.35,NA,"explicit_euler","Exponential growth assumes no capacity constraint."
"exponential_growth","dx_dt_equals_r_x",1,14.1059876062112,4.93709566217393,0.35,NA,"explicit_euler","Exponential growth assumes no capacity constraint."
"exponential_growth","dx_dt_equals_r_x",1.1,14.5996971724286,5.10989401035001,0.35,NA,"explicit_euler","Exponential growth assumes no capacity constraint."
"exponential_growth","dx_dt_equals_r_x",1.2,15.1106865734636,5.28874030071226,0.35,NA,"explicit_euler","Exponential growth assumes no capacity constraint."
"exponential_growth","dx_dt_equals_r_x",1.3,15.6395606035348,5.47384621123719,0.35,NA,"explicit_euler","Exponential growth assumes no capacity constraint."
"exponential_growth","dx_dt_equals_r_x",1.4,16.1869452246586,5.6654308286305,0.35,NA,"explicit_euler","Exponential growth assumes no capacity constraint."
"exponential_growth","dx_dt_equals_r_x",1.5,16.7534883075216,5.86372090763256,0.35,NA,"explicit_euler","Exponential growth assumes no capacity constraint."
"exponential_growth","dx_dt_equals_r_x",1.6,17.3398603982849,6.0689511393997,0.35,NA,"explicit_euler","Exponential growth assumes no capacity constraint."
"exponential_growth","dx_dt_equals_r_x",1.7,17.9467555122248,6.28136442927869,0.35,NA,"explicit_euler","Exponential growth assumes no capacity constraint."
"exponential_growth","dx_dt_equals_r_x",1.8,18.5748919551527,6.50121218430345,0.35,NA,"explicit_euler","Exponential growth assumes no capacity constraint."
"exponential_growth","dx_dt_equals_r_x",1.9,19.225013173583,6.72875461075407,0.35,NA,"explicit_euler","Exponential growth assumes no capacity constraint."
"exponential_growth","dx_dt_equals_r_x",2,19.8978886346585,6.96426102213046,0.35,NA,"explicit_euler","Exponential growth assumes no capacity constraint."
"exponential_growth","dx_dt_equals_r_x",2.1,20.5943147368715,7.20801015790502,0.35,NA,"explicit_euler","Exponential growth assumes no capacity constraint."
"exponential_growth","dx_dt_equals_r_x",2.2,21.315115752662,7.4602905134317,0.35,NA,"explicit_euler","Exponential growth assumes no capacity constraint."
"exponential_growth","dx_dt_equals_r_x",2.3,22.0611448040052,7.72140068140181,0.35,NA,"explicit_euler","Exponential growth assumes no capacity constraint."
"exponential_growth","dx_dt_equals_r_x",2.4,22.8332848721454,7.99164970525087,0.35,NA,"explicit_euler","Exponential growth assumes no capacity constraint."
"exponential_growth","dx_dt_equals_r_x",2.5,23.6324498426704,8.27135744493465,0.35,NA,"explicit_euler","Exponential growth assumes no capacity constraint."
"exponential_growth","dx_dt_equals_r_x",2.6,24.4595855871639,8.56085495550737,0.35,NA,"explicit_euler","Exponential growth assumes no capacity constraint."
"exponential_growth","dx_dt_equals_r_x",2.7,25.3156710827146,8.86048487895012,0.35,NA,"explicit_euler","Exponential growth assumes no capacity constraint."
"exponential_growth","dx_dt_equals_r_x",2.8,26.2017195706097,9.17060184971338,0.35,NA,"explicit_euler","Exponential growth assumes no capacity constraint."
"exponential_growth","dx_dt_equals_r_x",2.9,27.118779755581,9.49157291445335,0.35,NA,"explicit_euler","Exponential growth assumes no capacity constraint."
"exponential_growth","dx_dt_equals_r_x",3,28.0679370470263,9.82377796645921,0.35,NA,"explicit_euler","Exponential growth assumes no capacity constraint."
"exponential_growth","dx_dt_equals_r_x",3.1,29.0503148436723,10.1676101952853,0.35,NA,"explicit_euler","Exponential growth assumes no capacity constraint."
"exponential_growth","dx_dt_equals_r_x",3.2,30.0670758632008,10.5234765521203,0.35,NA,"explicit_euler","Exponential growth assumes no capacity constraint."
"exponential_growth","dx_dt_equals_r_x",3.3,31.1194235184128,10.8917982314445,0.35,NA,"explicit_euler","Exponential growth assumes no capacity constraint."
"exponential_growth","dx_dt_equals_r_x",3.4,32.2086033415573,11.273011169545,0.35,NA,"explicit_euler","Exponential growth assumes no capacity constraint."
"exponential_growth","dx_dt_equals_r_x",3.5,33.3359044585118,11.6675665604791,0.35,NA,"explicit_euler","Exponential growth assumes no capacity constraint."
"exponential_growth","dx_dt_equals_r_x",3.6,34.5026611145597,12.0759313900959,0.35,NA,"explicit_euler","Exponential growth assumes no capacity constraint."
"exponential_growth","dx_dt_equals_r_x",3.7,35.7102542535693,12.4985889887492,0.35,NA,"explicit_euler","Exponential growth assumes no capacity constraint."
"exponential_growth","dx_dt_equals_r_x",3.8,36.9601131524442,12.9360396033555,0.35,NA,"explicit_euler","Exponential growth assumes no capacity constraint."
"exponential_growth","dx_dt_equals_r_x",3.9,38.2537171127797,13.3888009894729,0.35,NA,"explicit_euler","Exponential growth assumes no capacity constraint."
"exponential_growth","dx_dt_equals_r_x",4,39.592597211727,13.8574090241045,0.35,NA,"explicit_euler","Exponential growth assumes no capacity constraint."
"exponential_growth","dx_dt_equals_r_x",4.1,40.9783381141375,14.3424183399481,0.35,NA,"explicit_euler","Exponential growth assumes no capacity constraint."
"exponential_growth","dx_dt_equals_r_x",4.2,42.4125799481323,14.8444029818463,0.35,NA,"explicit_euler","Exponential growth assumes no capacity constraint."
"exponential_growth","dx_dt_equals_r_x",4.3,43.8970202463169,15.3639570862109,0.35,NA,"explicit_euler","Exponential growth assumes no capacity constraint."
"exponential_growth","dx_dt_equals_r_x",4.4,45.433415954938,15.9016955842283,0.35,NA,"explicit_euler","Exponential growth assumes no capacity constraint."
"exponential_growth","dx_dt_equals_r_x",4.5,47.0235855133608,16.4582549296763,0.35,NA,"explicit_euler","Exponential growth assumes no capacity constraint."
