step,time,center_value,total_mass,max_value,left_boundary,right_boundary,diffusion_ratio
0,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.016000
1,0.200000,0.968000,1.000000,0.968000,0.000000,0.000000,0.016000
2,0.400000,0.937536,1.000000,0.937536,0.000000,0.000000,0.016000
3,0.600000,0.908526,1.000000,0.908526,0.000000,0.000000,0.016000
4,0.800000,0.880893,1.000000,0.880893,0.000000,0.000000,0.016000
5,1.000000,0.854563,1.000000,0.854563,0.000000,0.000000,0.016000
6,1.200000,0.829469,1.000000,0.829469,0.000000,0.000000,0.016000
7,1.400000,0.805544,1.000000,0.805544,0.000000,0.000000,0.016000
8,1.600000,0.782727,1.000000,0.782727,0.000000,0.000000,0.016000
9,1.800000,0.760961,1.000000,0.760961,0.000000,0.000000,0.016000
10,2.000000,0.740190,1.000000,0.740190,0.000000,0.000000,0.016000
11,2.200000,0.720362,1.000000,0.720362,0.000000,0.000000,0.016000
12,2.400000,0.701429,1.000000,0.701429,0.000000,0.000000,0.016000
13,2.600000,0.683344,1.000000,0.683344,0.000000,0.000000,0.016000
14,2.800000,0.666064,1.000000,0.666064,0.000000,0.000000,0.016000
15,3.000000,0.649547,1.000000,0.649547,0.000000,0.000000,0.016000
16,3.200000,0.633754,1.000000,0.633754,0.000000,0.000000,0.016000
17,3.400000,0.618649,1.000000,0.618649,0.000000,0.000000,0.016000
18,3.600000,0.604196,1.000000,0.604196,0.000000,0.000000,0.016000
19,3.800000,0.590362,1.000000,0.590362,0.000000,0.000000,0.016000
20,4.000000,0.577117,1.000000,0.577117,0.000000,0.000000,0.016000
21,4.200000,0.564430,1.000000,0.564430,0.000000,0.000000,0.016000
22,4.400000,0.552274,1.000000,0.552274,0.000000,0.000000,0.016000
23,4.600000,0.540622,1.000000,0.540622,0.000000,0.000000,0.016000
24,4.800000,0.529450,1.000000,0.529450,0.000000,0.000000,0.016000
25,5.000000,0.518733,1.000000,0.518733,0.000000,0.000000,0.016000
26,5.200000,0.508450,1.000000,0.508450,0.000000,0.000000,0.016000
27,5.400000,0.498578,1.000000,0.498578,0.000000,0.000000,0.016000
28,5.600000,0.489099,1.000000,0.489099,0.000000,0.000000,0.016000
29,5.800000,0.479992,1.000000,0.479992,0.000000,0.000000,0.016000
30,6.000000,0.471240,1.000000,0.471240,0.000000,0.000000,0.016000
31,6.200000,0.462827,1.000000,0.462827,0.000000,0.000000,0.016000
32,6.400000,0.454735,1.000000,0.454735,0.000000,0.000000,0.016000
33,6.600000,0.446949,1.000000,0.446949,0.000000,0.000000,0.016000
34,6.800000,0.439456,1.000000,0.439456,0.000000,0.000000,0.016000
35,7.000000,0.432240,1.000000,0.432240,0.000000,0.000000,0.016000
36,7.200000,0.425290,1.000000,0.425290,0.000000,0.000000,0.016000
37,7.400000,0.418593,1.000000,0.418593,0.000000,0.000000,0.016000
38,7.600000,0.412136,1.000000,0.412136,0.000000,0.000000,0.016000
39,7.800000,0.405910,1.000000,0.405910,0.000000,0.000000,0.016000
40,8.000000,0.399903,1.000000,0.399903,0.000000,0.000000,0.016000
41,8.200000,0.394106,1.000000,0.394106,0.000000,0.000000,0.016000
42,8.400000,0.388508,1.000000,0.388508,0.000000,0.000000,0.016000
43,8.600000,0.383102,1.000000,0.383102,0.000000,0.000000,0.016000
44,8.800000,0.377878,1.000000,0.377878,0.000000,0.000000,0.016000
45,9.000000,0.372828,1.000000,0.372828,0.000000,0.000000,0.016000
46,9.200000,0.367945,1.000000,0.367945,0.000000,0.000000,0.016000
47,9.400000,0.363221,1.000000,0.363221,0.000000,0.000000,0.016000
48,9.600000,0.358649,1.000000,0.358649,0.000000,0.000000,0.016000
49,9.800000,0.354223,1.000000,0.354223,0.000000,0.000000,0.016000
50,10.000000,0.349937,1.000000,0.349937,0.000000,0.000000,0.016000
51,10.200000,0.345784,1.000000,0.345784,0.000000,0.000000,0.016000
52,10.400000,0.341758,1.000000,0.341758,0.000000,0.000000,0.016000
53,10.600000,0.337855,1.000000,0.337855,0.000000,0.000000,0.016000
54,10.800000,0.334069,1.000000,0.334069,0.000000,0.000000,0.016000
55,11.000000,0.330396,1.000000,0.330396,0.000000,0.000000,0.016000
56,11.200000,0.326830,1.000000,0.326830,0.000000,0.000000,0.016000
57,11.400000,0.323368,1.000000,0.323368,0.000000,0.000000,0.016000
58,11.600000,0.320005,1.000000,0.320005,0.000000,0.000000,0.016000
59,11.800000,0.316736,1.000000,0.316736,0.000000,0.000000,0.016000
60,12.000000,0.313559,1.000000,0.313559,0.000000,0.000000,0.016000
61,12.200000,0.310470,1.000000,0.310470,0.000000,0.000000,0.016000
62,12.400000,0.307464,1.000000,0.307464,0.000000,0.000000,0.016000
63,12.600000,0.304540,1.000000,0.304540,0.000000,0.000000,0.016000
64,12.800000,0.301693,1.000000,0.301693,0.000000,0.000000,0.016000
65,13.000000,0.298921,1.000000,0.298921,0.000000,0.000000,0.016000
66,13.200000,0.296220,1.000000,0.296220,0.000000,0.000000,0.016000
67,13.400000,0.293589,1.000000,0.293589,0.000000,0.000000,0.016000
68,13.600000,0.291024,1.000000,0.291024,0.000000,0.000000,0.016000
69,13.800000,0.288523,1.000000,0.288523,0.000000,0.000000,0.016000
70,14.000000,0.286084,1.000000,0.286084,0.000000,0.000000,0.016000
71,14.200000,0.283704,1.000000,0.283704,0.000000,0.000000,0.016000
72,14.400000,0.281381,1.000000,0.281381,0.000000,0.000000,0.016000
73,14.600000,0.279114,1.000000,0.279114,0.000000,0.000000,0.016000
74,14.800000,0.276899,1.000000,0.276899,0.000000,0.000000,0.016000
75,15.000000,0.274736,1.000000,0.274736,0.000000,0.000000,0.016000
76,15.200000,0.272622,1.000000,0.272622,0.000000,0.000000,0.016000
77,15.400000,0.270556,1.000000,0.270556,0.000000,0.000000,0.016000
78,15.600000,0.268535,1.000000,0.268535,0.000000,0.000000,0.016000
79,15.800000,0.266560,1.000000,0.266560,0.000000,0.000000,0.016000
80,16.000000,0.264627,1.000000,0.264627,0.000000,0.000000,0.016000
81,16.200000,0.262735,1.000000,0.262735,0.000000,0.000000,0.016000
82,16.400000,0.260884,1.000000,0.260884,0.000000,0.000000,0.016000
83,16.600000,0.259072,1.000000,0.259072,0.000000,0.000000,0.016000
84,16.800000,0.257297,1.000000,0.257297,0.000000,0.000000,0.016000
85,17.000000,0.255558,1.000000,0.255558,0.000000,0.000000,0.016000
86,17.200000,0.253855,1.000000,0.253855,0.000000,0.000000,0.016000
87,17.400000,0.252185,1.000000,0.252185,0.000000,0.000000,0.016000
88,17.600000,0.250548,1.000000,0.250548,0.000000,0.000000,0.016000
89,17.800000,0.248944,1.000000,0.248944,0.000000,0.000000,0.016000
90,18.000000,0.247370,1.000000,0.247370,0.000000,0.000000,0.016000
91,18.200000,0.245826,1.000000,0.245826,0.000000,0.000000,0.016000
92,18.400000,0.244311,1.000000,0.244311,0.000000,0.000000,0.016000
93,18.600000,0.242824,1.000000,0.242824,0.000000,0.000000,0.016000
94,18.800000,0.241364,1.000000,0.241364,0.000000,0.000000,0.016000
95,19.000000,0.239931,1.000000,0.239931,0.000000,0.000000,0.016000
96,19.200000,0.238524,1.000000,0.238524,0.000000,0.000000,0.016000
97,19.400000,0.237142,1.000000,0.237142,0.000000,0.000000,0.016000
98,19.600000,0.235784,1.000000,0.235784,0.000000,0.000000,0.016000
99,19.800000,0.234449,1.000000,0.234449,0.000000,0.000000,0.016000
100,20.000000,0.233137,1.000000,0.233137,0.000000,0.000000,0.016000
101,20.200000,0.231848,1.000000,0.231848,0.000000,0.000000,0.016000
102,20.400000,0.230580,1.000000,0.230580,0.000000,0.000000,0.016000
103,20.600000,0.229333,1.000000,0.229333,0.000000,0.000000,0.016000
104,20.800000,0.228107,1.000000,0.228107,0.000000,0.000000,0.016000
105,21.000000,0.226900,1.000000,0.226900,0.000000,0.000000,0.016000
106,21.200000,0.225713,1.000000,0.225713,0.000000,0.000000,0.016000
107,21.400000,0.224545,1.000000,0.224545,0.000000,0.000000,0.016000
108,21.600000,0.223395,1.000000,0.223395,0.000000,0.000000,0.016000
109,21.800000,0.222263,1.000000,0.222263,0.000000,0.000000,0.016000
110,22.000000,0.221149,1.000000,0.221149,0.000000,0.000000,0.016000
111,22.200000,0.220051,1.000000,0.220051,0.000000,0.000000,0.016000
112,22.400000,0.218970,1.000000,0.218970,0.000000,0.000000,0.016000
113,22.600000,0.217905,1.000000,0.217905,0.000000,0.000000,0.016000
114,22.800000,0.216856,1.000000,0.216856,0.000000,0.000000,0.016000
115,23.000000,0.215822,1.000000,0.215822,0.000000,0.000000,0.016000
116,23.200000,0.214803,1.000000,0.214803,0.000000,0.000000,0.016000
117,23.400000,0.213799,1.000000,0.213799,0.000000,0.000000,0.016000
118,23.600000,0.212809,1.000000,0.212809,0.000000,0.000000,0.016000
119,23.800000,0.211833,1.000000,0.211833,0.000000,0.000000,0.016000
120,24.000000,0.210870,1.000000,0.210870,0.000000,0.000000,0.016000
