"step","time","center_value","total_mass","max_value","left_boundary","right_boundary","diffusion_ratio","stability_status"
0,0,1,1,1,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
1,0.2,0.968,1,0.968,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
2,0.4,0.937536,1,0.937536,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
3,0.6,0.90852608,1,0.90852608,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
4,0.8,0.88089290752,1,0.88089290752,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
5,1,0.854563473358848,1,0.854563473358848,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
6,1.2,0.829468842855236,1,0.829468842855236,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
7,1.4,0.805543921729571,1,0.805543921729571,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
8,1.6,0.782727235640733,1,0.782727235640733,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
9,1.8,0.760960722643652,1,0.760960722643652,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
10,2,0.740189537782452,1,0.740189537782452,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
11,2.2,0.720361869099737,1,0.720361869099737,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
12,2.4,0.701428764385701,1,0.701428764385701,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
13,2.6,0.683343968031209,1,0.683343968031209,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
14,2.8,0.666063767387034,1,0.666063767387034,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
15,3,0.64954684806719,1,0.64954684806719,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
16,3.2,0.633754157667893,1,0.633754157667893,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
17,3.4,0.618648777405231,1,0.618648777405231,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
18,3.6,0.604195801204317,1,0.604195801204317,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
19,3.8,0.590362221800553,1,0.590362221800553,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
20,4,0.577116823439844,1,0.577116823439844,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
21,4.2,0.564430080789247,1,0.564430080789247,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
22,4.4,0.552274063692639,1,0.552274063692639,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
23,4.6,0.54062234742779,1,0.54062234742779,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
24,4.8,0.52944992814165,1,0.52944992814165,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
25,5,0.518733143159874,1,0.518733143159874,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
26,5.2,0.508449595884695,1,0.508449595884695,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
27,5.4,0.498578085012211,1,0.498578085012211,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
28,5.6,0.489098537816147,1,0.489098537816147,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
29,5.8,0.479991947260127,1,0.479991947260127,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
30,6,0.471240312714629,1,0.471240312714629,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
