time,group,observed_value,predicted_value,decision_threshold,residual,absolute_error,squared_error,near_threshold,decision_disagreement
1,baseline,82.0,81.5,70.0,0.5,0.5,0.25,False,False
2,baseline,79.5,80.2,70.0,-0.7,0.7,0.49,False,False
3,baseline,77.0,78.4,70.0,-1.4,1.4,1.96,False,False
4,baseline,74.3,75.6,70.0,-1.3,1.3,1.69,False,False
5,threshold,71.5,72.8,70.0,-1.3,1.3,1.69,True,False
6,threshold,69.2,71.0,70.0,-1.8,1.8,3.24,True,True
7,threshold,67.8,69.8,70.0,-2.0,2.0,4.0,True,False
8,stress,65.5,68.0,70.0,-2.5,2.5,6.25,False,False
9,stress,63.0,66.4,70.0,-3.4,3.4,11.56,False,False
10,stress,61.1,65.2,70.0,-4.1,4.1,16.81,False,False
