scenario,replication,sampled_initial_stock,sampled_growth_rate,sampled_extraction,sampled_shock_probability,final_stock,minimum_stock,depleted
baseline_uncertainty,1,66.10726419,0.1719976,7.45226371,0.05083458,0.0,0.0,1
baseline_uncertainty,2,66.86920895,0.19253796,7.74967287,0.02298289,0.0,0.0,1
baseline_uncertainty,3,66.45791315,0.18030909,5.61015793,0.07464046,0.0,0.0,1
baseline_uncertainty,4,70.75032397,0.15684324,6.09237284,0.0684311,0.0,0.0,1
baseline_uncertainty,5,66.04764661,0.15910309,6.96636622,0.04361983,0.0,0.0,1
baseline_uncertainty,6,66.97263542,0.19956054,5.96462246,0.0383773,0.0,0.0,1
baseline_uncertainty,7,70.40801968,0.14393575,7.26109429,0.05587217,0.0,0.0,1
baseline_uncertainty,8,65.53205036,0.14459947,7.43482753,0.06762053,0.0,0.0,1
baseline_uncertainty,9,74.31879975,0.14444903,5.77221175,0.0660839,0.0,0.0,1
baseline_uncertainty,10,73.67729576,0.20843336,7.34504089,0.052849,0.0,0.0,1
baseline_uncertainty,11,67.17558215,0.19097394,7.81153795,0.05347657,0.0,0.0,1
baseline_uncertainty,12,67.33991329,0.21826931,7.4068449,0.07324968,0.0,0.0,1
baseline_uncertainty,13,65.50181814,0.19897915,6.76567692,0.03736411,0.0,0.0,1
baseline_uncertainty,14,67.49043813,0.15569419,7.55419441,0.03323813,0.0,0.0,1
baseline_uncertainty,15,68.50552917,0.17846724,5.90978255,0.04614146,0.0,0.0,1
baseline_uncertainty,16,71.99132352,0.14818075,6.7216409,0.03827915,0.0,0.0,1
baseline_uncertainty,17,69.95873212,0.1764551,6.4724033,0.06567475,0.0,0.0,1
baseline_uncertainty,18,67.6084715,0.2099437,6.51225888,0.04768352,0.0,0.0,1
baseline_uncertainty,19,73.49964802,0.17757316,5.26328706,0.04080622,0.0,0.0,1
baseline_uncertainty,20,68.96756853,0.14888533,5.54228588,0.07075628,0.0,0.0,1
baseline_uncertainty,21,66.85882285,0.202056,6.41857171,0.02171965,0.0,0.0,1
baseline_uncertainty,22,70.07667374,0.1916532,5.44038126,0.04108963,0.0,0.0,1
baseline_uncertainty,23,72.75029246,0.18015978,5.02821403,0.05075181,15.38936185,15.38936185,0
baseline_uncertainty,24,72.37290216,0.20213234,6.18309262,0.02527206,0.0,0.0,1
baseline_uncertainty,25,66.34996811,0.2022185,5.72125692,0.05716722,0.0,0.0,1
baseline_uncertainty,26,69.82960683,0.21686654,7.85557552,0.06040972,0.0,0.0,1
baseline_uncertainty,27,65.67022542,0.19557541,6.09079926,0.04122096,0.0,0.0,1
baseline_uncertainty,28,73.56664067,0.19766702,5.03063559,0.03696614,54.74622605,54.74622605,0
baseline_uncertainty,29,68.43236455,0.18256574,5.44863367,0.0442312,0.0,0.0,1
baseline_uncertainty,30,72.80757726,0.21013477,5.84867046,0.07877527,0.0,0.0,1
baseline_uncertainty,31,72.64716944,0.17733077,5.34016783,0.04532246,0.0,0.0,1
baseline_uncertainty,32,70.6074655,0.15973576,6.39301719,0.05906732,0.0,0.0,1
baseline_uncertainty,33,70.203283,0.2133365,5.92784484,0.06855316,0.0,0.0,1
baseline_uncertainty,34,71.45272421,0.16921394,6.07906939,0.03393435,0.0,0.0,1
baseline_uncertainty,35,66.22112149,0.15666873,6.4478354,0.02060315,0.0,0.0,1
baseline_uncertainty,36,74.90829471,0.15382244,6.92622954,0.07866902,0.0,0.0,1
baseline_uncertainty,37,72.47665339,0.14786611,5.59994274,0.03901781,0.0,0.0,1
baseline_uncertainty,38,67.16345764,0.17394137,6.40803762,0.04303279,0.0,0.0,1
baseline_uncertainty,39,72.4830577,0.16625831,5.60349173,0.07810454,0.0,0.0,1
baseline_uncertainty,40,67.21252523,0.20929689,7.34092565,0.06263913,0.0,0.0,1
baseline_uncertainty,41,65.91672178,0.19443947,5.63454906,0.04797163,0.0,0.0,1
baseline_uncertainty,42,72.1584638,0.19970599,7.75895219,0.06752116,0.0,0.0,1
baseline_uncertainty,43,72.72142812,0.15124204,5.53161741,0.06770333,0.0,0.0,1
baseline_uncertainty,44,66.84001477,0.17915674,5.25597947,0.07963018,0.0,0.0,1
baseline_uncertainty,45,73.38060321,0.17735739,5.10745018,0.03863468,0.0,0.0,1
baseline_uncertainty,46,71.94178039,0.15172925,7.86278778,0.03618769,0.0,0.0,1
baseline_uncertainty,47,72.48251267,0.18491347,7.12010611,0.04376888,0.0,0.0,1
baseline_uncertainty,48,66.08318092,0.20545577,6.57563252,0.07774514,0.0,0.0,1
baseline_uncertainty,49,74.39653515,0.21480737,5.12335003,0.05312436,61.52163999,61.52163999,0
baseline_uncertainty,50,73.18970057,0.18905907,5.6722652,0.07189988,0.0,0.0,1
baseline_uncertainty,51,69.68275399,0.21902531,7.15364916,0.0630553,0.0,0.0,1
baseline_uncertainty,52,73.59713114,0.21616956,6.85243384,0.03226095,0.0,0.0,1
baseline_uncertainty,53,69.56935342,0.14962973,5.04045247,0.04658954,0.0,0.0,1
baseline_uncertainty,54,74.74816983,0.14343791,7.49639606,0.03140255,0.0,0.0,1
baseline_uncertainty,55,74.7261036,0.20474147,7.82599801,0.07833443,0.0,0.0,1
baseline_uncertainty,56,73.09347613,0.20134332,6.00322579,0.03061912,0.0,0.0,1
baseline_uncertainty,57,67.41665583,0.19265167,6.06666937,0.06355324,0.0,0.0,1
baseline_uncertainty,58,65.98208929,0.18974975,5.05860592,0.03408706,10.66607999,10.66607999,0
baseline_uncertainty,59,74.33307474,0.1754247,6.91483676,0.07648998,0.0,0.0,1
baseline_uncertainty,60,67.05667548,0.2160195,7.62735409,0.02439589,0.0,0.0,1
baseline_uncertainty,61,66.48130411,0.19539325,5.23191346,0.07121474,0.0,0.0,1
baseline_uncertainty,62,72.99970442,0.20207682,7.26843017,0.06967924,0.0,0.0,1
baseline_uncertainty,63,69.70671279,0.19713846,6.13479176,0.0762794,0.0,0.0,1
baseline_uncertainty,64,71.47093343,0.16072114,7.45953354,0.04168106,0.0,0.0,1
baseline_uncertainty,65,70.12300174,0.20173616,7.92720679,0.07964979,0.0,0.0,1
baseline_uncertainty,66,67.20562262,0.20021624,7.03618804,0.02217375,0.0,0.0,1
baseline_uncertainty,67,66.21765293,0.14259449,5.80384441,0.0380046,0.0,0.0,1
baseline_uncertainty,68,72.03159186,0.17608525,7.86563726,0.04577795,0.0,0.0,1
baseline_uncertainty,69,72.19105747,0.21261332,6.33764155,0.05174868,0.0,0.0,1
baseline_uncertainty,70,68.7590246,0.20065733,6.32501975,0.03965472,0.0,0.0,1
baseline_uncertainty,71,70.67912226,0.15734665,5.4738043,0.02182723,0.0,0.0,1
baseline_uncertainty,72,70.46484875,0.18730202,6.93826444,0.05583932,0.0,0.0,1
baseline_uncertainty,73,70.87160309,0.18441353,5.433246,0.02984581,0.0,0.0,1
baseline_uncertainty,74,74.48730882,0.19234349,6.40512505,0.0343119,0.0,0.0,1
baseline_uncertainty,75,74.42615999,0.19473154,6.90202465,0.07702435,0.0,0.0,1
baseline_uncertainty,76,67.42028099,0.21147754,5.03342212,0.02198195,61.42005107,61.42005107,0
baseline_uncertainty,77,65.66765961,0.2047508,6.29945597,0.02043169,0.0,0.0,1
baseline_uncertainty,78,68.43178781,0.1870643,7.38139624,0.07877834,0.0,0.0,1
baseline_uncertainty,79,73.72638704,0.15350615,5.32276564,0.06392468,0.0,0.0,1
baseline_uncertainty,80,67.48056974,0.18069879,6.22979365,0.03058957,0.0,0.0,1
baseline_uncertainty,81,69.5926068,0.16194046,7.53411937,0.03619047,0.0,0.0,1
baseline_uncertainty,82,72.81491539,0.15973759,6.2007635,0.03230906,0.0,0.0,1
baseline_uncertainty,83,70.6060167,0.18385207,5.03982871,0.05343298,41.23377533,41.23377533,0
baseline_uncertainty,84,69.73737225,0.18958715,5.44645737,0.0602809,0.0,0.0,1
baseline_uncertainty,85,74.06678713,0.16014553,5.36403694,0.06819727,0.0,0.0,1
baseline_uncertainty,86,70.44025376,0.1971849,5.43046737,0.03163048,21.62258492,21.62258492,0
baseline_uncertainty,87,67.29349494,0.20111244,5.02348681,0.07418426,21.58629832,21.58629832,0
baseline_uncertainty,88,68.5408309,0.21048057,5.43148667,0.02277805,38.82087052,38.82087052,0
baseline_uncertainty,89,67.47504524,0.18097886,7.14316962,0.0513843,0.0,0.0,1
baseline_uncertainty,90,66.88453383,0.15899555,6.17956316,0.02413047,0.0,0.0,1
