method,h_large,h_small,error_large,error_small,estimated_order
central_difference,1.0,0.5,0.0036316314302310415,0.0009065470976744594,2.0021639136291225
central_difference,0.5,0.25,0.0009065470976744594,0.0002265518028258251,2.000541002589766
central_difference,0.25,0.125,0.0002265518028258251,5.663264116739786e-05,2.0001352521523525
central_difference,0.125,0.0625,5.663264116739786e-05,1.4157828460370503e-05,2.0000338135202216
central_difference,0.0625,0.03125,1.4157828460370503e-05,3.5394363854246436e-06,2.0000084495095725
central_difference,0.03125,0.015625,3.5394363854246436e-06,8.848578053610723e-07,2.0000021048702314
central_difference,0.015625,0.0078125,8.848578053610723e-07,2.2121438603139865e-07,2.000000425925139
central_difference,0.0078125,0.00390625,2.2121438603139865e-07,5.5303566726117026e-08,2.000000776910947
forward_difference,1.0,0.5,0.05817872858569395,0.028112025282967523,1.0493043747424962
forward_difference,0.5,0.25,0.028112025282967523,0.013820792724665965,1.0243470266401609
forward_difference,0.25,0.125,0.013820792724665965,0.006852691162639091,1.0120977931897326
forward_difference,0.125,0.0625,0.006852691162639091,0.003412054357135319,1.0060300387401844
forward_difference,0.0625,0.03125,0.003412054357135319,0.0017024711095464662,1.0030103139680118
forward_difference,0.03125,0.015625,0.0017024711095464662,0.0008503486205105881,1.0015039817562739
forward_difference,0.015625,0.0078125,0.0008503486205105881,0.0004249528365468658,1.0007516970355959
forward_difference,0.0078125,0.00390625,0.0004249528365468658,0.00021242108224639455,1.000375775391215
richardson_central,1.0,0.5,1.814346511030962e-06,1.1329545701599386e-07,4.001288096306823
richardson_central,0.5,0.25,1.1329545701599386e-07,7.079385411223882e-09,4.000322082289146
richardson_central,0.25,0.125,7.079385411223882e-09,4.4244197194842627e-10,4.000063962384827
richardson_central,0.125,0.0625,4.4244197194842627e-10,2.7639557309555585e-11,4.000681838299543
richardson_central,0.0625,0.03125,2.7639557309555585e-11,1.7212897773788427e-12,4.00517260973305
richardson_central,0.03125,0.015625,1.7212897773788427e-12,8.704148513061227e-14,4.305643011299873
richardson_central,0.015625,0.0078125,8.704148513061227e-14,3.9745984281580604e-14,1.1308940668509517
richardson_central,0.0078125,0.00390625,3.9745984281580604e-14,7.394085344003543e-14,-0.8955625898070058
