method,x,h,estimate,exact,absolute_error
forward_difference,5.0,1.0,0.601835094277503,0.5436563656918091,0.05817872858569395
central_difference,5.0,1.0,0.5472879971220401,0.5436563656918091,0.0036316314302310415
richardson_central,5.0,1.0,0.543654551345298,0.5436563656918091,1.814346511030962e-06
forward_difference,5.0,0.5,0.5717683909747766,0.5436563656918091,0.028112025282967523
central_difference,5.0,0.5,0.5445629127894835,0.5436563656918091,0.0009065470976744594
richardson_central,5.0,0.5,0.5436562523963521,0.5436563656918091,1.1329545701599386e-07
forward_difference,5.0,0.25,0.557477158416475,0.5436563656918091,0.013820792724665965
central_difference,5.0,0.25,0.5438829174946349,0.5436563656918091,0.0002265518028258251
richardson_central,5.0,0.25,0.5436563586124237,0.5436563656918091,7.079385411223882e-09
forward_difference,5.0,0.125,0.5505090568544482,0.5436563656918091,0.006852691162639091
central_difference,5.0,0.125,0.5437129983329765,0.5436563656918091,5.663264116739786e-05
richardson_central,5.0,0.125,0.5436563652493671,0.5436563656918091,4.4244197194842627e-10
forward_difference,5.0,0.0625,0.5470684200489444,0.5436563656918091,0.003412054357135319
central_difference,5.0,0.0625,0.5436705235202695,0.5436563656918091,1.4157828460370503e-05
richardson_central,5.0,0.0625,0.5436563656641695,0.5436563656918091,2.7639557309555585e-11
forward_difference,5.0,0.03125,0.5453588368013556,0.5436563656918091,0.0017024711095464662
central_difference,5.0,0.03125,0.5436599051281945,0.5436563656918091,3.5394363854246436e-06
richardson_central,5.0,0.03125,0.5436563656900878,0.5436563656918091,1.7212897773788427e-12
forward_difference,5.0,0.015625,0.5445067143123197,0.5436563656918091,0.0008503486205105881
central_difference,5.0,0.015625,0.5436572505496144,0.5436563656918091,8.848578053610723e-07
richardson_central,5.0,0.015625,0.543656365691722,0.5436563656918091,8.704148513061227e-14
forward_difference,5.0,0.0078125,0.544081318528356,0.5436563656918091,0.0004249528365468658
central_difference,5.0,0.0078125,0.5436565869061951,0.5436563656918091,2.2121438603139865e-07
richardson_central,5.0,0.0078125,0.5436563656917693,0.5436563656918091,3.9745984281580604e-14
forward_difference,5.0,0.00390625,0.5438687867740555,0.5436563656918091,0.00021242108224639455
central_difference,5.0,0.00390625,0.5436564209953758,0.5436563656918091,5.5303566726117026e-08
richardson_central,5.0,0.00390625,0.543656365691883,0.5436563656918091,7.394085344003543e-14
