method,x,h,estimate,exact,absolute_error
forward_difference,5.000000,1.000000,0.601835094278,0.543656365692,0.058178728586
central_difference,5.000000,1.000000,0.547287997122,0.543656365692,0.003631631430
richardson_central,5.000000,1.000000,0.543654551345,0.543656365692,0.000001814347
forward_difference,5.000000,0.500000,0.571768390975,0.543656365692,0.028112025283
central_difference,5.000000,0.500000,0.544562912789,0.543656365692,0.000906547098
richardson_central,5.000000,0.500000,0.543656252396,0.543656365692,0.000000113295
forward_difference,5.000000,0.250000,0.557477158416,0.543656365692,0.013820792725
central_difference,5.000000,0.250000,0.543882917495,0.543656365692,0.000226551803
richardson_central,5.000000,0.250000,0.543656358612,0.543656365692,0.000000007079
forward_difference,5.000000,0.125000,0.550509056854,0.543656365692,0.006852691163
central_difference,5.000000,0.125000,0.543712998333,0.543656365692,0.000056632641
richardson_central,5.000000,0.125000,0.543656365249,0.543656365692,0.000000000442
forward_difference,5.000000,0.062500,0.547068420049,0.543656365692,0.003412054357
central_difference,5.000000,0.062500,0.543670523520,0.543656365692,0.000014157828
richardson_central,5.000000,0.062500,0.543656365664,0.543656365692,0.000000000028
forward_difference,5.000000,0.031250,0.545358836801,0.543656365692,0.001702471110
central_difference,5.000000,0.031250,0.543659905128,0.543656365692,0.000003539436
richardson_central,5.000000,0.031250,0.543656365690,0.543656365692,0.000000000002
