method,h,epsilon,absolute_error,inside_epsilon
forward_difference,1.0,0.1,0.05817872858569395,True
forward_difference,1.0,0.01,0.05817872858569395,False
forward_difference,1.0,0.001,0.05817872858569395,False
forward_difference,1.0,0.0001,0.05817872858569395,False
central_difference,1.0,0.1,0.0036316314302310415,True
central_difference,1.0,0.01,0.0036316314302310415,True
central_difference,1.0,0.001,0.0036316314302310415,False
central_difference,1.0,0.0001,0.0036316314302310415,False
richardson_central,1.0,0.1,1.814346511030962e-06,True
richardson_central,1.0,0.01,1.814346511030962e-06,True
richardson_central,1.0,0.001,1.814346511030962e-06,True
richardson_central,1.0,0.0001,1.814346511030962e-06,True
forward_difference,0.5,0.1,0.028112025282967523,True
forward_difference,0.5,0.01,0.028112025282967523,False
forward_difference,0.5,0.001,0.028112025282967523,False
forward_difference,0.5,0.0001,0.028112025282967523,False
central_difference,0.5,0.1,0.0009065470976744594,True
central_difference,0.5,0.01,0.0009065470976744594,True
central_difference,0.5,0.001,0.0009065470976744594,True
central_difference,0.5,0.0001,0.0009065470976744594,False
richardson_central,0.5,0.1,1.1329545701599386e-07,True
richardson_central,0.5,0.01,1.1329545701599386e-07,True
richardson_central,0.5,0.001,1.1329545701599386e-07,True
richardson_central,0.5,0.0001,1.1329545701599386e-07,True
forward_difference,0.25,0.1,0.013820792724665965,True
forward_difference,0.25,0.01,0.013820792724665965,False
forward_difference,0.25,0.001,0.013820792724665965,False
forward_difference,0.25,0.0001,0.013820792724665965,False
central_difference,0.25,0.1,0.0002265518028258251,True
central_difference,0.25,0.01,0.0002265518028258251,True
central_difference,0.25,0.001,0.0002265518028258251,True
central_difference,0.25,0.0001,0.0002265518028258251,False
richardson_central,0.25,0.1,7.079385411223882e-09,True
richardson_central,0.25,0.01,7.079385411223882e-09,True
richardson_central,0.25,0.001,7.079385411223882e-09,True
richardson_central,0.25,0.0001,7.079385411223882e-09,True
forward_difference,0.125,0.1,0.006852691162639091,True
forward_difference,0.125,0.01,0.006852691162639091,True
forward_difference,0.125,0.001,0.006852691162639091,False
forward_difference,0.125,0.0001,0.006852691162639091,False
central_difference,0.125,0.1,5.663264116739786e-05,True
central_difference,0.125,0.01,5.663264116739786e-05,True
central_difference,0.125,0.001,5.663264116739786e-05,True
central_difference,0.125,0.0001,5.663264116739786e-05,True
richardson_central,0.125,0.1,4.4244197194842627e-10,True
richardson_central,0.125,0.01,4.4244197194842627e-10,True
richardson_central,0.125,0.001,4.4244197194842627e-10,True
richardson_central,0.125,0.0001,4.4244197194842627e-10,True
forward_difference,0.0625,0.1,0.003412054357135319,True
forward_difference,0.0625,0.01,0.003412054357135319,True
forward_difference,0.0625,0.001,0.003412054357135319,False
