"x","y","output","partial_x","partial_y","cross_partial_xy","feasible","warning"
0,0,0,3,2,0.5,TRUE,""
2,0,6,3,3,0.5,TRUE,""
4,0,12,3,4,0.5,TRUE,""
6,0,18,3,5,0.5,TRUE,""
8,0,24,3,6,0.5,TRUE,""
10,0,30,3,7,0.5,TRUE,""
0,2,4,4,2,0.5,TRUE,""
2,2,12,4,3,0.5,TRUE,""
4,2,20,4,4,0.5,TRUE,""
6,2,28,4,5,0.5,TRUE,""
8,2,36,4,6,0.5,TRUE,""
10,2,44,4,7,0.5,FALSE,"Input combination is outside the feasible region."
0,4,8,5,2,0.5,TRUE,""
2,4,18,5,3,0.5,TRUE,""
4,4,28,5,4,0.5,TRUE,""
6,4,38,5,5,0.5,TRUE,""
8,4,48,5,6,0.5,FALSE,"Input combination is outside the feasible region."
10,4,58,5,7,0.5,FALSE,"Input combination is outside the feasible region."
0,6,12,6,2,0.5,TRUE,""
2,6,24,6,3,0.5,TRUE,""
4,6,36,6,4,0.5,TRUE,""
6,6,48,6,5,0.5,FALSE,"Input combination is outside the feasible region."
8,6,60,6,6,0.5,FALSE,"Input combination is outside the feasible region."
10,6,72,6,7,0.5,FALSE,"Input combination is outside the feasible region."
0,8,16,7,2,0.5,TRUE,""
2,8,30,7,3,0.5,TRUE,""
4,8,44,7,4,0.5,FALSE,"Input combination is outside the feasible region."
6,8,58,7,5,0.5,FALSE,"Input combination is outside the feasible region."
8,8,72,7,6,0.5,FALSE,"Input combination is outside the feasible region."
10,8,86,7,7,0.5,FALSE,"Input combination is outside the feasible region."
0,10,20,8,2,0.5,TRUE,""
2,10,36,8,3,0.5,FALSE,"Input combination is outside the feasible region."
4,10,52,8,4,0.5,FALSE,"Input combination is outside the feasible region."
6,10,68,8,5,0.5,FALSE,"Input combination is outside the feasible region."
8,10,84,8,6,0.5,FALSE,"Input combination is outside the feasible region."
10,10,100,8,7,0.5,FALSE,"Input combination is outside the feasible region."
