sample,x,y,output,partial_x,partial_y
1,0.0,3.0,6.0,4.5,2.0
2,1.1111111111111112,3.0,11.0,4.5,2.5555555555555554
3,2.2222222222222223,3.0,16.0,4.5,3.111111111111111
4,3.3333333333333335,3.0,21.0,4.5,3.666666666666667
5,4.444444444444445,3.0,26.000000000000004,4.5,4.222222222222222
6,5.555555555555555,3.0,30.999999999999996,4.5,4.777777777777778
7,6.666666666666667,3.0,36.0,4.5,5.333333333333334
8,7.777777777777779,3.0,41.0,4.5,5.888888888888889
9,8.88888888888889,3.0,46.00000000000001,4.5,6.444444444444445
10,10.0,3.0,51.0,4.5,7.0
