artifact,path,required,exists,is_file,is_dir,sha256,purpose,review_status
README,README.md,True,True,True,False,7928a5a7eb1feec1c1595f8fcd04da7e69795603ffdb3c3ff7dd1495e831bff3,Project overview and run instructions,present
metadata,article-metadata.yml,True,True,True,False,abffb37ee600aef7cfca66415d726dc58634791658f0bc05a779fa4b0bd61e56,Article and repository metadata,present
Makefile,Makefile,True,True,True,False,abb852df5bcaa432cff1a1236be8c63a1b54ae62d4b0295e0920ad6c5447b433,Repeatable workflow targets,present
Python package,python,True,True,False,True,not_applicable,Executable model and audit code,present
R workflow,r,False,True,False,True,not_applicable,Independent review workflow,present
SQL schema,sql/schema.sql,False,True,True,False,742b8624b096f9ae0ff20fd50ab49e292571f5bd5fe8310ea46398d39f1e8423,Structured governance tables,present
data folder,data,True,True,False,True,not_applicable,Data metadata and scenario files,present
docs folder,docs,True,True,False,True,not_applicable,Documentation and governance notes,present
outputs folder,outputs,True,True,False,True,not_applicable,Generated tables figures JSON and logs,present
schemas folder,schemas,False,True,False,True,not_applicable,Machine-readable validation schemas,present
canvas manifest,canvas/canvas_manifest.json,False,True,True,False,ca7193bb05fe7856d05eeea1b8c953761f43ee02c4e076044ab0b2fa893389c9,Catalyst Canvas governance metadata,present
citation note,docs/licensing-citation-and-reuse.md,True,True,True,False,69f91ace846a4a723faf846338b09c9c7ab972c6caceb246814345fc4bd24728,Citation licensing and reuse guidance,present
