period,representation,storage,demand,condition,effective_loss_rate,raw_next_storage,next_storage,shortage
0,condition_aware,45.000000,8.000000,0.850000,0.023000,39.965000,39.965000,0.000000
1,condition_aware,39.965000,8.000000,0.850000,0.023000,35.045805,35.045805,0.000000
2,condition_aware,35.045805,8.000000,0.850000,0.023000,30.239751,30.239751,0.000000
3,condition_aware,30.239751,8.000000,0.850000,0.023000,25.544237,25.544237,0.000000
4,condition_aware,25.544237,8.000000,0.850000,0.023000,20.956720,20.956720,0.000000
5,condition_aware,20.956720,8.000000,0.850000,0.023000,16.474715,16.474715,0.000000
6,condition_aware,16.474715,8.000000,0.850000,0.023000,12.095797,12.095797,0.000000
7,condition_aware,12.095797,8.000000,0.850000,0.023000,7.817593,7.817593,0.000000
8,condition_aware,7.817593,8.000000,0.850000,0.023000,3.637789,3.637789,0.000000
9,condition_aware,3.637789,8.000000,0.850000,0.023000,-0.445880,0.000000,0.445880
10,condition_aware,0.000000,7.910824,0.849108,0.023018,-3.910824,0.000000,3.910824
11,condition_aware,0.000000,7.128659,0.841287,0.023174,-3.128659,0.000000,3.128659
12,condition_aware,0.000000,6.502927,0.835029,0.023299,-2.502927,0.000000,2.502927
13,condition_aware,0.000000,6.002342,0.830023,0.023400,-2.002342,0.000000,2.002342
14,condition_aware,0.000000,5.601873,0.826019,0.023480,-1.601873,0.000000,1.601873
15,condition_aware,0.000000,5.281499,0.822815,0.023544,-1.281499,0.000000,1.281499
16,condition_aware,0.000000,5.025199,0.820252,0.023595,-1.025199,0.000000,1.025199
17,condition_aware,0.000000,4.820159,0.818202,0.023636,-0.820159,0.000000,0.820159
18,condition_aware,0.000000,4.656127,0.816561,0.023669,-0.656127,0.000000,0.656127
19,condition_aware,0.000000,4.524902,0.815249,0.023695,-0.524902,0.000000,0.524902
20,condition_aware,0.000000,4.419922,0.814199,0.023716,-0.419922,0.000000,0.419922
21,condition_aware,0.000000,4.335937,0.813359,0.023733,-0.335937,0.000000,0.335937
22,condition_aware,0.000000,4.268750,0.812687,0.023746,-0.268750,0.000000,0.268750
23,condition_aware,0.000000,4.215000,0.812150,0.023757,-0.215000,0.000000,0.215000
24,condition_aware,0.000000,4.172000,0.811720,0.023766,-0.172000,0.000000,0.172000
25,condition_aware,0.000000,4.137600,0.811376,0.023772,-0.137600,0.000000,0.137600
26,condition_aware,0.000000,4.110080,0.811101,0.023778,-0.110080,0.000000,0.110080
27,condition_aware,0.000000,4.088064,0.810881,0.023782,-0.088064,0.000000,0.088064
28,condition_aware,0.000000,4.070451,0.810705,0.023786,-0.070451,0.000000,0.070451
29,condition_aware,0.000000,4.056361,0.810564,0.023789,-0.056361,0.000000,0.056361
30,condition_aware,0.000000,4.045089,0.810451,0.023791,-0.045089,0.000000,0.045089
31,condition_aware,0.000000,4.036071,0.810361,0.023793,-0.036071,0.000000,0.036071
32,condition_aware,0.000000,4.028857,0.810289,0.023794,-0.028857,0.000000,0.028857
33,condition_aware,0.000000,4.023085,0.810231,0.023795,-0.023085,0.000000,0.023085
34,condition_aware,0.000000,4.018468,0.810185,0.023796,-0.018468,0.000000,0.018468
35,condition_aware,0.000000,4.014775,0.810148,0.023797,-0.014775,0.000000,0.014775
36,condition_aware,0.000000,4.011820,0.810118,0.023798,-0.011820,0.000000,0.011820
37,condition_aware,0.000000,4.009456,0.810095,0.023798,-0.009456,0.000000,0.009456
38,condition_aware,0.000000,4.007565,0.810076,0.023798,-0.007565,0.000000,0.007565
39,condition_aware,0.000000,4.006052,0.810061,0.023799,-0.006052,0.000000,0.006052
40,condition_aware,0.000000,4.004841,0.810048,0.023799,-0.004841,0.000000,0.004841
41,condition_aware,0.000000,4.003873,0.810039,0.023799,-0.003873,0.000000,0.003873
42,condition_aware,0.000000,4.003098,0.810031,0.023799,-0.003098,0.000000,0.003098
43,condition_aware,0.000000,4.002479,0.810025,0.023800,-0.002479,0.000000,0.002479
44,condition_aware,0.000000,4.001983,0.810020,0.023800,-0.001983,0.000000,0.001983
45,condition_aware,0.000000,4.001586,0.810016,0.023800,-0.001586,0.000000,0.001586
46,condition_aware,0.000000,4.001269,0.810013,0.023800,-0.001269,0.000000,0.001269
47,condition_aware,0.000000,4.001015,0.810010,0.023800,-0.001015,0.000000,0.001015
48,condition_aware,0.000000,4.000812,0.810008,0.023800,-0.000812,0.000000,0.000812
49,condition_aware,0.000000,4.000650,0.810006,0.023800,-0.000650,0.000000,0.000650
50,condition_aware,0.000000,4.000520,0.810005,0.023800,-0.000520,0.000000,0.000520
51,condition_aware,0.000000,4.000416,0.810004,0.023800,-0.000416,0.000000,0.000416
52,condition_aware,0.000000,4.000333,0.810003,0.023800,-0.000333,0.000000,0.000333
53,condition_aware,0.000000,4.000266,0.810003,0.023800,-0.000266,0.000000,0.000266
54,condition_aware,0.000000,4.000213,0.810002,0.023800,-0.000213,0.000000,0.000213
55,condition_aware,0.000000,4.000170,0.810002,0.023800,-0.000170,0.000000,0.000170
56,condition_aware,0.000000,4.000136,0.810001,0.023800,-0.000136,0.000000,0.000136
57,condition_aware,0.000000,4.000109,0.810001,0.023800,-0.000109,0.000000,0.000109
58,condition_aware,0.000000,4.000087,0.810001,0.023800,-0.000087,0.000000,0.000087
59,condition_aware,0.000000,4.000070,0.810001,0.023800,-0.000070,0.000000,0.000070
60,condition_aware,0.000000,4.000056,0.810001,0.023800,-0.000056,0.000000,0.000056
