scenario,representation,period,storage,demand,condition,effective_loss_rate,raw_next_storage,next_storage,shortage,overflow,domain_valid
storage_only_baseline,storage_only,0,80.0,7.0,1.0,0.015,77.8,77.8,0.0,0.0,True
storage_only_baseline,storage_only,1,77.8,7.0,1.0,0.015,75.633,75.633,0.0,0.0,True
storage_only_baseline,storage_only,2,75.633,7.0,1.0,0.015,73.498505,73.498505,0.0,0.0,True
storage_only_baseline,storage_only,3,73.498505,7.0,1.0,0.015,71.39602742,71.39602742,0.0,0.0,True
storage_only_baseline,storage_only,4,71.39602742,7.0,1.0,0.015,69.32508701,69.32508701,0.0,0.0,True
storage_only_baseline,storage_only,5,69.32508701,7.0,1.0,0.015,67.28521071,67.28521071,0.0,0.0,True
storage_only_baseline,storage_only,6,67.28521071,7.0,1.0,0.015,65.27593255,65.27593255,0.0,0.0,True
storage_only_baseline,storage_only,7,65.27593255,7.0,1.0,0.015,63.29679356,63.29679356,0.0,0.0,True
storage_only_baseline,storage_only,8,63.29679356,7.0,1.0,0.015,61.34734166,61.34734166,0.0,0.0,True
storage_only_baseline,storage_only,9,61.34734166,7.0,1.0,0.015,59.42713153,59.42713153,0.0,0.0,True
storage_only_baseline,storage_only,10,59.42713153,7.0,1.0,0.015,57.53572456,57.53572456,0.0,0.0,True
storage_only_baseline,storage_only,11,57.53572456,7.0,1.0,0.015,55.67268869,55.67268869,0.0,0.0,True
storage_only_baseline,storage_only,12,55.67268869,7.0,1.0,0.015,53.83759836,53.83759836,0.0,0.0,True
storage_only_baseline,storage_only,13,53.83759836,7.0,1.0,0.015,52.03003438,52.03003438,0.0,0.0,True
storage_only_baseline,storage_only,14,52.03003438,7.0,1.0,0.015,50.24958387,50.24958387,0.0,0.0,True
storage_only_baseline,storage_only,15,50.24958387,7.0,1.0,0.015,48.49584011,48.49584011,0.0,0.0,True
storage_only_baseline,storage_only,16,48.49584011,7.0,1.0,0.015,46.76840251,46.76840251,0.0,0.0,True
storage_only_baseline,storage_only,17,46.76840251,7.0,1.0,0.015,45.06687647,45.06687647,0.0,0.0,True
storage_only_baseline,storage_only,18,45.06687647,7.0,1.0,0.015,43.39087332,43.39087332,0.0,0.0,True
storage_only_baseline,storage_only,19,43.39087332,7.0,1.0,0.015,41.74001022,41.74001022,0.0,0.0,True
storage_only_baseline,storage_only,20,41.74001022,7.0,1.0,0.015,40.11391007,40.11391007,0.0,0.0,True
storage_only_baseline,storage_only,21,40.11391007,7.0,1.0,0.015,38.51220142,38.51220142,0.0,0.0,True
