"scenario","time","value","growth_rate","carrying_capacity","warning"
"low_growth",0,10,0.18,100,"Trajectory visualization depends on equation, initial condition, parameters, time horizon, axis scale, and scenario selection."
"low_growth",0.25,10.4123527676363,0.18,100,"Trajectory visualization depends on equation, initial condition, parameters, time horizon, axis scale, and scenario selection."
"low_growth",0.5,10.8396611050347,0.18,100,"Trajectory visualization depends on equation, initial condition, parameters, time horizon, axis scale, and scenario selection."
"low_growth",0.75,11.2822971485189,0.18,100,"Trajectory visualization depends on equation, initial condition, parameters, time horizon, axis scale, and scenario selection."
"low_growth",1,11.7406280604701,0.18,100,"Trajectory visualization depends on equation, initial condition, parameters, time horizon, axis scale, and scenario selection."
"low_growth",1.25,12.215014595805,0.18,100,"Trajectory visualization depends on equation, initial condition, parameters, time horizon, axis scale, and scenario selection."
"low_growth",1.5,12.7058095786168,0.18,100,"Trajectory visualization depends on equation, initial condition, parameters, time horizon, axis scale, and scenario selection."
"low_growth",1.75,13.2133562900323,0.18,100,"Trajectory visualization depends on equation, initial condition, parameters, time horizon, axis scale, and scenario selection."
"low_growth",2,13.7379867692095,0.18,100,"Trajectory visualization depends on equation, initial condition, parameters, time horizon, axis scale, and scenario selection."
"low_growth",2.25,14.2800200303655,0.18,100,"Trajectory visualization depends on equation, initial condition, parameters, time horizon, axis scale, and scenario selection."
"low_growth",2.5,14.8397601997734,0.18,100,"Trajectory visualization depends on equation, initial condition, parameters, time horizon, axis scale, and scenario selection."
"low_growth",2.75,15.4174945777955,0.18,100,"Trajectory visualization depends on equation, initial condition, parameters, time horizon, axis scale, and scenario selection."
"low_growth",3,16.0134916322271,0.18,100,"Trajectory visualization depends on equation, initial condition, parameters, time horizon, axis scale, and scenario selection."
"low_growth",3.25,16.6279989305012,0.18,100,"Trajectory visualization depends on equation, initial condition, parameters, time horizon, axis scale, and scenario selection."
"low_growth",3.5,17.2612410196369,0.18,100,"Trajectory visualization depends on equation, initial condition, parameters, time horizon, axis scale, and scenario selection."
"low_growth",3.75,17.9134172641989,0.18,100,"Trajectory visualization depends on equation, initial condition, parameters, time horizon, axis scale, and scenario selection."
"low_growth",4,18.5846996539429,0.18,100,"Trajectory visualization depends on equation, initial condition, parameters, time horizon, axis scale, and scenario selection."
"low_growth",4.25,19.2752305942542,0.18,100,"Trajectory visualization depends on equation, initial condition, parameters, time horizon, axis scale, and scenario selection."
"low_growth",4.5,19.9851206939032,0.18,100,"Trajectory visualization depends on equation, initial condition, parameters, time horizon, axis scale, and scenario selection."
